date,회사채투자
2020-03-20,4.69483
2020-03-21,2.11267
2020-03-22,5.39906
2020-03-23,7.51173
2020-03-24,7.27699
2020-03-25,2.8169
2020-03-26,1.1737
2020-03-27,2.11267
2020-03-28,7.04225
2020-03-29,5.16431
2020-03-30,3.99061
2020-03-31,2.58215
2020-04-01,2.11267
2020-04-02,4.22535
2020-04-03,1.87793
2020-04-05,7.04225
2020-04-06,2.58215
2020-04-07,3.99061
2020-04-08,4.22535
2020-04-09,3.05164
2020-04-10,3.75586
2020-04-11,4.46009
2020-04-12,5.6338
2020-04-13,2.11267
2020-04-14,2.11267
2020-04-15,3.05164
2020-04-16,4.92957
2020-04-17,3.28638
2020-04-18,2.34741
2020-04-19,4.69483
2020-04-20,2.58215
2020-04-21,11.03286
2020-04-22,15.49295
2020-04-23,7.98122
2020-04-24,5.86854
2020-04-25,5.16431
2020-04-26,4.69483
2020-04-27,3.75586
2020-04-28,4.92957
2020-04-29,4.46009
2020-04-30,4.22535
2020-05-01,23.00469
2020-05-02,7.27699
2020-05-03,4.46009
2020-05-04,6.80751
2020-05-05,4.22535
2020-05-06,4.22535
2020-05-07,5.16431
2020-05-08,4.46009
2020-05-09,3.75586
2020-05-10,6.57276
2020-05-11,12.67605
2020-05-12,11.50234
2020-05-13,6.10328
2020-05-14,6.80751
2020-05-15,6.33802
2020-05-16,4.22535
2020-05-17,4.92957
2020-05-18,7.27699
2020-05-19,6.80751
2020-05-20,6.10328
2020-05-21,9.38967
2020-05-22,3.52112
2020-05-23,5.6338
2020-05-24,2.8169
2020-05-25,2.8169
2020-05-26,5.39906
2020-05-27,5.16431
2020-05-28,7.04225
2020-05-29,5.39906
2020-05-30,2.34741
2020-05-31,1.87793
2020-06-01,1.87793
2020-06-02,2.58215
2020-06-04,1.1737
2020-06-05,2.8169
2020-06-07,1.64319
2020-06-08,5.86854
2020-06-09,15.49295
2020-06-10,15.02347
2020-06-11,12.20657
2020-06-12,6.57276
2020-06-13,2.58215
2020-06-14,2.34741
2020-06-15,7.04225
2020-06-16,8.4507
2020-06-17,4.46009
2020-06-18,4.69483
2020-06-19,5.39906
2020-06-20,3.99061
2020-06-21,3.75586
2020-06-22,3.99061
2020-06-23,3.05164
2020-06-24,3.99061
2020-06-25,3.05164
2020-06-26,3.99061
2020-06-27,2.34741
2020-06-28,1.64319
2020-06-29,2.34741
2020-06-30,2.34741
2020-07-02,3.28638
2020-07-03,2.34741
2020-07-04,2.11267
2020-07-06,1.64319
2020-07-07,2.8169
2020-07-08,1.1737
2020-07-09,2.58215
2020-07-10,2.11267
2020-07-11,1.64319
2020-07-12,2.34741
2020-07-13,3.28638
2020-07-14,2.8169
2020-07-15,4.92957
2020-07-16,2.58215
2020-07-17,3.52112
2020-07-18,1.40845
2020-07-19,1.1737
2020-07-20,2.8169
2020-07-21,3.28638
2020-07-23,2.34741
2020-07-24,3.28638
2020-07-27,3.28638
2020-07-29,1.87793
2020-07-30,1.87793
2020-08-01,2.8169
2020-08-03,1.40845
2020-08-04,1.64319
2020-08-05,3.05164
2020-08-06,2.58215
2020-08-07,1.64319
2020-08-09,2.11267
