date,오늘금시세한돈
2020-03-20,49.48178
2020-03-21,21.97216
2020-03-22,16.61237
2020-03-23,31.65531
2020-03-24,28.78294
2020-03-25,31.71453
2020-03-26,28.90139
2020-03-27,22.68285
2020-03-28,15.07254
2020-03-29,10.77879
2020-03-30,22.03138
2020-03-31,19.89931
2020-04-01,18.77405
2020-04-02,17.14539
2020-04-03,17.73763
2020-04-04,10.51228
2020-04-05,9.12052
2020-04-06,19.75125
2020-04-07,18.98134
2020-04-08,23.21587
2020-04-09,19.72164
2020-04-10,25.22949
2020-04-11,14.45069
2020-04-12,17.02694
2020-04-13,27.56884
2020-04-14,30.47083
2020-04-15,16.49392
2020-04-16,23.60082
2020-04-17,29.55285
2020-04-18,15.96091
2020-04-19,12.91086
2020-04-20,19.01095
2020-04-21,23.00858
2020-04-22,22.00177
2020-04-23,22.5644
2020-04-24,26.56203
2020-04-25,15.66479
2020-04-26,13.91767
2020-04-27,28.33876
2020-04-28,25.67367
2020-04-29,19.21824
2020-04-30,13.74
2020-05-01,13.79923
2020-05-02,11.54871
2020-05-03,11.7856
2020-05-04,20.3435
2020-05-05,13.65116
2020-05-06,20.16582
2020-05-07,17.23423
2020-05-08,15.25022
2020-05-09,12.73319
2020-05-10,9.29819
2020-05-11,17.35267
2020-05-12,16.40509
2020-05-13,14.89487
2020-05-14,17.73763
2020-05-15,20.01776
2020-05-16,11.81522
2020-05-17,10.71957
2020-05-18,24.7557
2020-05-19,27.06544
2020-05-20,24.31151
2020-05-21,20.72845
2020-05-22,20.3435
2020-05-23,15.30944
2020-05-24,13.65116
2020-05-25,23.03819
2020-05-26,26.79893
2020-05-27,21.29108
2020-05-28,21.23186
2020-05-29,18.56677
2020-05-30,12.17056
2020-05-31,10.57151
2020-06-01,21.40953
2020-06-02,20.52117
2020-06-03,21.35031
2020-06-04,19.75125
2020-06-05,19.42552
2020-06-06,11.99289
2020-06-07,9.62392
2020-06-08,21.40953
2020-06-09,22.061
2020-06-10,27.59846
2020-06-11,27.86496
2020-06-12,28.6941
2020-06-13,16.84927
2020-06-14,14.68759
2020-06-15,30.6485
2020-06-16,27.77613
2020-06-17,29.04945
2020-06-18,24.87414
2020-06-19,24.72608
2020-06-20,16.02013
2020-06-21,12.58513
2020-06-22,33.93544
2020-06-23,34.11311
2020-06-24,28.63488
2020-06-25,29.81936
