date,장외주식거래방법
2020-11-07,6.93229
2020-11-08,9.88014
2020-11-09,21.02364
2020-11-10,24.65176
2020-11-11,22.74052
2020-11-12,23.55037
2020-11-13,23.74473
2020-11-14,13.02235
2020-11-15,10.52802
2020-11-16,23.64755
2020-11-17,27.37285
2020-11-18,25.17006
2020-11-19,27.01652
2020-11-20,22.93488
2020-11-21,11.24068
2020-11-22,12.79559
2020-11-23,21.21801
2020-11-24,24.65176
2020-11-25,24.91091
2020-11-26,25.17006
2020-11-27,26.78976
2020-11-28,15.4195
2020-11-29,15.80822
2020-11-30,28.63621
2020-12-01,29.08973
2020-12-02,29.12212
2020-12-03,30.25591
2020-12-04,26.78976
2020-12-05,16.03498
2020-12-06,16.84483
2020-12-07,30.25591
2020-12-08,29.08973
2020-12-09,27.85876
2020-12-10,31.13054
2020-12-11,27.59961
2020-12-12,15.61386
2020-12-13,16.9744
2020-12-14,25.5264
2020-12-15,25.65597
2020-12-16,25.23485
2020-12-17,26.53061
2020-12-18,28.05312
2020-12-19,17.78425
2020-12-20,20.08422
2020-12-21,31.51927
2020-12-22,29.02494
2020-12-23,29.34888
2020-12-24,27.0813
2020-12-25,15.51668
2020-12-26,13.37868
2020-12-27,14.73922
2020-12-28,33.00939
2020-12-29,33.56009
2020-12-30,35.34175
2020-12-31,22.25461
2021-01-01,20.01943
2021-01-02,17.62228
2021-01-03,57.4344
2021-01-04,46.80919
2021-01-05,44.44444
2021-01-06,49.85422
2021-01-07,49.91901
2021-01-08,53.09361
2021-01-09,33.13896
2021-01-10,33.04178
2021-01-11,53.41755
2021-01-12,43.47262
2021-01-13,47.52186
2021-01-14,47.06835
2021-01-15,43.6022
2021-01-16,21.54195
2021-01-17,22.48137
2021-01-18,37.35017
2021-01-19,51.27955
2021-01-20,50.92322
2021-01-21,63.71882
2021-01-22,57.07806
2021-01-23,32.71784
2021-01-24,26.23906
2021-01-25,46.7768
2021-01-26,42.82474
2021-01-27,44.60641
2021-01-28,39.42338
2021-01-29,37.99805
2021-01-30,15.19274
2021-01-31,20.05183
2021-02-01,32.13475
2021-02-02,33.81924
2021-02-03,36.73469
2021-02-04,35.82766
2021-02-05,31.48688
2021-02-06,18.33495
2021-02-07,20.92646
2021-02-08,33.17136
2021-02-09,33.75445
2021-02-10,40.49238
2021-02-11,21.47716
2021-02-12,34.72627
2021-02-13,58.56818
2021-02-14,45.57823
2021-02-15,61.96954
2021-02-16,56.75413
2021-02-17,50.59928
2021-02-18,52.80207
2021-02-19,43.69938
2021-02-20,24.13346
2021-02-21,25.46161
2021-02-22,36.1192
2021-02-23,37.47975
2021-02-24,33.72206
2021-02-25,39.94169
2021-02-26,36.1192
2021-02-27,17.13637
2021-02-28,16.00259
2021-03-01,27.79397
2021-03-02,38.06284
2021-03-03,31.77842
2021-03-04,32.26433
2021-03-05,28.24748
2021-03-06,17.75186
2021-03-07,17.62228
2021-03-08,30.74182
2021-03-09,28.31227
2021-03-10,33.26854
2021-03-11,35.21218
2021-03-12,40.16844
2021-03-13,23.16164
2021-03-14,39.55296
2021-03-15,42.11208
2021-03-16,38.77551
2021-03-17,40.26563
2021-03-18,100.0
2021-03-19,83.54389
2021-03-20,29.12212
2021-03-21,29.93197
2021-03-22,43.92614
2021-03-23,40.9135
2021-03-24,37.51214
2021-03-25,33.68966
2021-03-26,32.71784
2021-03-27,20.01943
2021-03-28,25.55879
2021-03-29,35.6009
2021-03-30,31.84321
2021-03-31,34.79105
2021-04-01,32.26433
2021-04-02,29.60803
2021-04-03,19.56592
2021-04-04,17.65468
2021-04-05,29.7376
2021-04-06,29.38127
2021-04-07,35.82766
2021-04-08,37.96566
2021-04-09,34.46712
2021-04-10,19.27437
2021-04-11,22.18982
2021-04-12,37.15581
2021-04-13,39.29381
