date,오늘주가지수
2020-03-20,58.19718
2020-03-21,5.23943
2020-03-22,1.40845
2020-03-23,45.29577
2020-03-24,40.95774
2020-03-25,42.36619
2020-03-26,48.56338
2020-03-27,42.53521
2020-03-28,5.74647
2020-03-29,2.64788
2020-03-30,43.43661
2020-03-31,39.66197
2020-04-01,41.23943
2020-04-02,44.28169
2020-04-03,36.56338
2020-04-04,4.22535
2020-04-05,1.52112
2020-04-06,30.8169
2020-04-07,30.59154
2020-04-08,34.19718
2020-04-09,30.76056
2020-04-10,27.43661
2020-04-11,3.77464
2020-04-12,1.91549
2020-04-13,31.09859
2020-04-14,25.29577
2020-04-15,5.57746
2020-04-16,27.15492
2020-04-17,26.92957
2020-04-18,1.85915
2020-04-19,1.12676
2020-04-20,26.53521
2020-04-21,36.28169
2020-04-22,34.92957
2020-04-23,27.2676
2020-04-24,28.28169
2020-04-25,1.80281
2020-04-26,1.07042
2020-04-27,23.49295
2020-04-28,23.94366
2020-04-29,18.70422
2020-04-30,3.77464
2020-05-01,3.49295
2020-05-02,1.52112
2020-05-03,0.56338
2020-05-04,19.94366
2020-05-05,4.0
2020-05-06,20.9014
2020-05-07,16.67605
2020-05-08,14.53521
2020-05-09,1.85915
2020-05-10,0.61971
2020-05-11,17.18309
2020-05-12,22.59154
2020-05-13,21.6338
2020-05-14,20.0
2020-05-15,15.54929
2020-05-16,1.23943
2020-05-17,0.95774
2020-05-18,18.14084
2020-05-19,17.52112
2020-05-20,15.09859
2020-05-21,16.78873
2020-05-22,18.92957
2020-05-23,1.18309
2020-05-24,0.84507
2020-05-25,18.30985
2020-05-26,17.52112
2020-05-27,17.57746
2020-05-28,18.25352
2020-05-29,16.22535
2020-05-30,1.35211
2020-05-31,0.50704
2020-06-01,17.85915
2020-06-02,18.53521
2020-06-03,17.85915
2020-06-04,20.28169
2020-06-05,18.14084
2020-06-06,1.18309
2020-06-07,1.07042
2020-06-08,20.05633
2020-06-09,18.64788
2020-06-10,17.18309
2020-06-11,18.30985
2020-06-12,20.84507
2020-06-13,2.76056
2020-06-14,0.61971
2020-06-15,32.0
2020-06-16,29.40845
2020-06-17,28.50704
2020-06-18,22.42253
2020-06-19,21.07042
2020-06-20,1.69014
2020-06-21,1.18309
2020-06-22,20.50704
2020-06-23,18.98591
2020-06-24,17.12676
2020-06-25,21.97183
2020-06-26,17.69014
2020-06-27,1.46478
2020-06-28,1.35211
2020-06-29,20.50704
2020-06-30,18.70422
2020-07-01,18.42253
2020-07-02,17.07042
2020-07-03,17.18309
2020-07-04,1.07042
2020-07-05,0.78873
2020-07-06,15.09859
2020-07-07,18.14084
2020-07-08,17.46478
2020-07-09,14.8169
2020-07-10,13.12676
2020-07-11,1.18309
2020-07-12,0.56338
2020-07-13,12.56338
2020-07-14,16.78873
2020-07-15,14.25352
2020-07-16,14.53521
2020-07-17,13.35211
2020-07-18,0.95774
2020-07-19,0.67605
2020-07-20,13.91549
2020-07-21,13.46478
2020-07-22,15.88732
2020-07-23,13.91549
2020-07-24,14.87323
2020-07-25,1.52112
2020-07-26,0.56338
2020-07-27,11.88732
2020-07-28,15.7183
2020-07-29,14.02816
2020-07-30,12.39436
2020-07-31,12.84507
2020-08-01,2.42253
