date,계약갱신청구권
2020-03-20,0.47508
2020-03-21,0.33384
2020-03-22,0.41088
2020-03-23,0.4494
2020-03-24,0.33384
2020-03-25,0.321
2020-03-26,0.39804
2020-03-27,0.48793
2020-03-28,0.46224
2020-03-29,0.64201
2020-03-30,0.59065
2020-03-31,0.52645
2020-04-01,0.37236
2020-04-02,0.96302
2020-04-03,0.92449
2020-04-04,0.68053
2020-04-05,0.77041
2020-04-06,0.86029
2020-04-07,0.87313
2020-04-08,0.53929
2020-04-09,0.74473
2020-04-10,0.78325
2020-04-11,0.47508
2020-04-12,0.3852
2020-04-13,0.53929
2020-04-14,0.79609
2020-04-15,0.60349
2020-04-16,4.66101
2020-04-17,3.32562
2020-04-18,2.46533
2020-04-19,1.91319
2020-04-20,2.2984
2020-04-21,1.23266
2020-04-22,1.3097
2020-04-23,1.29686
2020-04-24,1.52799
2020-04-25,0.75757
2020-04-26,0.65485
2020-04-27,1.1171
2020-04-28,1.3097
2020-04-29,0.92449
2020-04-30,0.93733
2020-05-01,1.01438
2020-05-02,0.41088
2020-05-03,0.56497
2020-05-04,1.29686
2020-05-05,0.93733
2020-05-06,0.84745
2020-05-07,0.51361
2020-05-08,0.47508
2020-05-09,0.50077
2020-05-10,0.53929
2020-05-11,0.84745
2020-05-12,0.78325
2020-05-13,1.0529
2020-05-14,1.36106
2020-05-15,1.29686
2020-05-16,0.55213
2020-05-17,0.66769
2020-05-18,1.12994
2020-05-19,0.79609
2020-05-20,1.34822
2020-05-21,2.63225
2020-05-22,1.21982
2020-05-23,0.71905
2020-05-24,1.0529
2020-05-25,1.65639
2020-05-26,1.63071
2020-05-27,1.41242
2020-05-28,1.07858
2020-05-29,0.84745
2020-05-30,0.96302
2020-05-31,0.84745
2020-06-01,1.4381
2020-06-02,2.60657
2020-06-03,2.76065
2020-06-04,2.2342
2020-06-05,1.48947
2020-06-06,1.06574
2020-06-07,1.07858
2020-06-08,7.10066
2020-06-09,10.0796
2020-06-10,6.67693
2020-06-11,3.17154
2020-06-12,2.59373
2020-06-13,2.02876
2020-06-14,1.64355
2020-06-15,2.64509
2020-06-16,1.92604
2020-06-17,2.20852
2020-06-18,1.57935
2020-06-19,2.22136
2020-06-20,1.06574
2020-06-21,0.87313
2020-06-22,1.29686
2020-06-23,1.64355
2020-06-24,1.15562
2020-06-25,1.47663
2020-06-26,0.97586
2020-06-27,0.70621
2020-06-28,0.60349
2020-06-29,0.77041
2020-06-30,0.87313
2020-07-01,0.59065
2020-07-02,0.59065
2020-07-03,0.80893
2020-07-04,0.37236
2020-07-05,0.53929
2020-07-06,1.75911
2020-07-07,4.18592
2020-07-08,6.0606
2020-07-09,3.65947
2020-07-10,11.47919
2020-07-11,8.57729
2020-07-12,7.44735
2020-07-13,10.69594
2020-07-14,10.88854
2020-07-15,8.84694
2020-07-16,7.44735
2020-07-17,5.71391
2020-07-18,3.51823
2020-07-19,3.36414
2020-07-20,4.1474
2020-07-21,4.59681
2020-07-22,3.44119
2020-07-23,3.55675
2020-07-24,2.61941
2020-07-25,2.08012
