date,두산우
2020-03-20,4.01467
2020-03-21,1.17634
2020-03-22,1.34901
2020-03-23,3.51823
2020-03-24,4.10101
2020-03-25,7.17677
2020-03-26,6.06518
2020-03-27,6.0328
2020-03-28,1.25188
2020-03-29,0.98208
2020-03-30,4.78091
2020-03-31,5.77379
2020-04-01,5.22339
2020-04-02,4.43557
2020-04-03,4.5219
2020-04-04,1.56486
2020-04-05,1.5109
2020-04-06,4.17655
2020-04-07,4.89963
2020-04-08,5.60112
2020-04-09,7.48974
2020-04-10,8.07252
2020-04-11,3.07576
2020-04-12,2.6009
2020-04-13,7.21994
2020-04-14,7.05806
2020-04-15,3.45348
2020-04-16,8.49341
2020-04-17,7.80271
2020-04-18,2.66565
2020-04-19,2.69803
2020-04-20,7.14439
2020-04-21,8.04014
2020-04-22,9.36758
2020-04-23,9.11936
2020-04-24,9.64817
2020-04-25,2.70882
2020-04-26,2.91387
2020-04-27,9.4755
2020-04-28,10.50075
2020-04-29,9.91797
2020-04-30,3.77725
2020-05-01,2.80595
2020-05-02,2.02892
2020-05-03,2.10446
2020-05-04,6.18389
2020-05-05,2.06129
2020-05-06,6.8638
2020-05-07,6.9933
2020-05-08,7.2739
2020-05-09,2.57932
2020-05-10,2.20159
2020-05-11,7.28469
2020-05-12,7.11202
2020-05-13,20.62378
2020-05-14,23.04122
2020-05-15,19.57694
2020-05-16,3.68012
2020-05-17,2.62249
2020-05-18,13.92186
2020-05-19,11.87135
2020-05-20,9.02223
2020-05-21,9.03302
2020-05-22,6.43211
2020-05-23,2.15842
2020-05-24,1.86704
2020-05-25,8.48262
2020-05-26,8.54737
2020-05-27,8.81718
2020-05-28,8.69846
2020-05-29,6.54003
2020-05-30,2.26635
2020-05-31,1.60802
2020-06-01,7.45737
2020-06-02,7.58687
2020-06-03,8.72005
2020-06-04,10.58709
2020-06-05,29.76473
2020-06-06,6.19469
2020-06-07,6.39974
2020-06-08,40.52449
2020-06-09,50.34534
2020-06-10,35.18238
2020-06-11,28.36175
2020-06-12,51.94258
2020-06-13,9.0546
2020-06-14,7.5545
2020-06-15,33.97366
2020-06-16,60.32808
2020-06-17,52.38506
2020-06-18,68.12
2020-06-19,42.38074
2020-06-20,6.70192
2020-06-21,5.65508
2020-06-22,28.84739
2020-06-23,29.89423
2020-06-24,23.04122
2020-06-25,20.14893
2020-06-26,18.47614
2020-06-27,3.37794
2020-06-28,3.32398
2020-06-29,19.94388
2020-06-30,15.27088
2020-07-01,11.79581
2020-07-02,16.0695
2020-07-03,12.55126
2020-07-04,2.20159
2020-07-05,2.20159
2020-07-06,12.46492
2020-07-07,10.19857
2020-07-08,11.15907
2020-07-09,12.2167
2020-07-10,9.83164
2020-07-11,2.3311
2020-07-12,1.81308
2020-07-13,9.64817
2020-07-14,8.67688
2020-07-15,7.9646
2020-07-16,8.76322
2020-07-17,7.43578
2020-07-18,1.93179
2020-07-19,2.40664
2020-07-20,14.61256
2020-07-21,62.81027
2020-07-22,50.89574
2020-07-23,23.06281
2020-07-24,15.81048
2020-07-25,3.55061
2020-07-26,5.06151
2020-07-27,15.95078
2020-07-28,15.81048
2020-07-29,18.08763
2020-07-30,15.79969
2020-07-31,10.78135
2020-08-01,3.08655
2020-08-02,4.00388
2020-08-03,10.95402
2020-08-04,10.37124
2020-08-05,9.27045
2020-08-06,20.64537
2020-08-07,48.58622
2020-08-08,5.10468
2020-08-09,4.75933
2020-08-10,17.73149
2020-08-11,12.47571
2020-08-12,11.6663
2020-08-13,10.64105
2020-08-14,10.74897
2020-08-15,2.23397
2020-08-16,2.16922
2020-08-17,2.61169
2020-08-18,8.04014
2020-08-19,15.46514
2020-08-20,24.48737
2020-08-21,9.25965
2020-08-22,2.35268
2020-08-23,2.20159
2020-08-24,10.0151
2020-08-25,8.34232
2020-08-26,8.49341
2020-08-27,6.71271
2020-08-28,16.8897
2020-08-29,3.38873
2020-08-30,4.26289
2020-08-31,16.36088
2020-09-01,10.26332
2020-09-02,9.95035
2020-09-03,9.52946
2020-09-04,9.605
2020-09-05,3.9715
2020-09-06,3.89596
2020-09-07,64.9687
2020-09-08,31.50226
2020-09-09,16.45801
2020-09-10,22.64191
2020-09-11,17.83941
2020-09-12,4.86725
2020-09-13,4.55428
2020-09-14,15.65939
2020-09-15,13.20958
2020-09-16,11.91452
2020-09-17,10.19857
2020-09-18,9.22728
2020-09-19,2.48219
2020-09-20,3.2916
2020-09-21,12.56205
2020-09-22,22.80379
2020-09-23,11.38571
2020-09-24,10.1554
2020-09-25,7.80271
2020-09-26,2.23397
2020-09-27,2.66565
2020-09-28,13.67364
2020-09-29,8.46104
2020-09-30,1.94258
2020-10-01,1.6404
2020-10-02,1.40297
2020-10-03,1.94258
2020-10-04,1.96417
2020-10-05,8.63371
2020-10-06,9.00064
2020-10-07,8.62292
2020-10-08,8.56896
2020-10-09,2.78437
2020-10-10,1.89941
2020-10-11,2.32031
2020-10-12,11.26699
2020-10-13,10.59788
2020-10-14,8.07252
2020-10-15,8.59054
2020-10-16,6.89617
2020-10-17,1.80228
2020-10-18,1.44614
2020-10-19,7.44657
2020-10-20,7.57608
2020-10-21,9.10856
2020-10-22,7.94301
2020-10-23,7.63004
2020-10-24,1.93179
2020-10-25,1.89941
2020-10-26,7.45737
2020-10-27,6.76667
2020-10-28,6.64796
2020-10-29,6.47528
2020-10-30,6.63716
2020-10-31,1.65119
2020-11-01,1.54327
2020-11-02,5.77379
2020-11-03,5.9033
2020-11-04,6.02201
2020-11-05,6.29181
2020-11-06,6.38894
2020-11-07,2.10446
2020-11-08,2.13684
2020-11-09,8.32074
2020-11-10,7.91064
2020-11-11,8.18044
2020-11-12,7.71638
2020-11-13,6.75588
2020-11-14,2.23397
2020-11-15,1.89941
2020-11-16,7.684
2020-11-17,8.86034
2020-11-18,9.22728
2020-11-19,6.22706
2020-11-20,7.33865
2020-11-21,2.8815
2020-11-22,2.3311
2020-11-23,8.45024
2020-11-24,11.28858
2020-11-25,9.86401
2020-11-26,9.02223
2020-11-27,10.61946
2020-11-28,3.36714
2020-11-29,3.37794
2020-11-30,10.64105
2020-12-01,11.74185
2020-12-02,12.05482
2020-12-03,10.32808
2020-12-04,9.54025
2020-12-05,2.96783
2020-12-06,2.6009
2020-12-07,10.07986
2020-12-08,8.5042
2020-12-09,9.22728
2020-12-10,12.24908
2020-12-11,14.39671
2020-12-12,3.52903
2020-12-13,3.89596
2020-12-14,10.5763
2020-12-15,9.1949
2020-12-16,10.17699
2020-12-17,8.7848
2020-12-18,7.65162
2020-12-19,2.53615
2020-12-20,2.38506
2020-12-21,8.81718
2020-12-22,8.3747
2020-12-23,9.31361
2020-12-24,17.59119
2020-12-25,4.82408
2020-12-26,3.82041
2020-12-27,4.77012
2020-12-28,23.46211
2020-12-29,20.51586
2020-12-30,12.58363
2020-12-31,3.34556
2021-01-01,1.68357
2021-01-02,1.62961
2021-01-03,2.1908
2021-01-04,11.75264
2021-01-05,8.74163
2021-01-06,8.48262
2021-01-07,8.32074
2021-01-08,8.24519
2021-01-09,2.52536
2021-01-10,1.921
2021-01-11,8.73084
2021-01-12,7.59766
2021-01-13,6.46449
2021-01-14,13.32829
2021-01-15,10.87848
2021-01-16,2.1908
2021-01-17,1.79149
2021-01-18,6.0328
2021-01-19,6.08676
2021-01-20,5.2126
2021-01-21,6.09756
2021-01-22,8.04014
2021-01-23,2.52536
2021-01-24,2.22318
2021-01-25,6.77746
