date,RP
2020-03-20,12.37356
2020-03-21,6.4565
2020-03-22,7.61968
2020-03-23,95.58327
2020-03-24,27.22521
2020-03-25,16.16655
2020-03-26,100.0
2020-03-27,67.36345
2020-03-28,13.19959
2020-03-29,12.20498
2020-03-30,20.43155
2020-03-31,14.6325
2020-04-01,17.04315
2020-04-02,38.67161
2020-04-03,20.6507
2020-04-04,12.10384
2020-04-05,9.23803
2020-04-06,14.12677
2020-04-07,14.3122
2020-04-08,13.03101
2020-04-09,13.31759
2020-04-10,10.82265
2020-04-11,6.49022
2020-04-12,6.94538
2020-04-13,9.81119
2020-04-14,10.14834
2020-04-15,7.60283
2020-04-16,10.68779
2020-04-17,9.76062
2020-04-18,5.5799
2020-04-19,6.18678
2020-04-20,10.13149
2020-04-21,10.62036
2020-04-22,9.44032
2020-04-23,9.55832
2020-04-24,8.46257
2020-04-25,6.08563
2020-04-26,5.17532
2020-04-27,8.46257
2020-04-28,8.98516
2020-04-29,7.85569
2020-04-30,4.66958
2020-05-01,4.98988
2020-05-02,4.53472
2020-05-03,4.75387
2020-05-04,7.08024
2020-05-05,5.66419
2020-05-06,8.36142
2020-05-07,8.12542
2020-05-08,7.70397
2020-05-09,5.74848
2020-05-10,5.68105
2020-05-11,8.53
2020-05-12,7.78826
2020-05-13,7.72083
2020-05-14,8.0917
2020-05-15,8.22656
2020-05-16,5.10788
2020-05-17,5.34389
2020-05-18,7.83884
2020-05-19,8.26028
2020-05-20,8.88401
2020-05-21,8.20971
2020-05-22,10.09777
2020-05-23,5.34389
2020-05-24,4.29871
2020-05-25,7.7714
2020-05-26,8.44571
2020-05-27,7.93998
2020-05-28,8.78287
2020-05-29,7.95684
2020-05-30,4.06271
2020-05-31,5.09103
2020-06-01,7.95684
2020-06-02,7.82198
2020-06-03,8.0917
2020-06-04,8.56372
2020-06-05,7.87255
2020-06-06,5.49561
2020-06-07,4.93931
2020-06-08,8.39514
2020-06-09,8.86716
2020-06-10,8.44571
2020-06-11,8.56372
2020-06-12,9.7269
2020-06-13,5.41132
2020-06-14,5.5799
2020-06-15,7.78826
2020-06-16,8.93459
2020-06-17,8.22656
2020-06-18,8.56372
2020-06-19,8.53
2020-06-20,5.19217
2020-06-21,5.09103
2020-06-22,8.42886
2020-06-23,9.57518
2020-06-24,9.4066
2020-06-25,10.73836
2020-06-26,9.6089
2020-06-27,5.34389
2020-06-28,5.17532
2020-06-29,8.19285
2020-06-30,10.38435
2020-07-01,8.73229
2020-07-02,9.13688
2020-07-03,7.83884
2020-07-04,4.73701
2020-07-05,5.51247
2020-07-06,9.03573
2020-07-07,8.44571
2020-07-08,8.27714
2020-07-09,8.14227
2020-07-10,7.72083
2020-07-11,4.78759
2020-07-12,4.33243
2020-07-13,8.05799
2020-07-14,8.17599
2020-07-15,7.68712
2020-07-16,7.29939
2020-07-17,7.16453
2020-07-18,4.51786
2020-07-19,3.96156
2020-07-20,7.28253
2020-07-21,7.95684
2020-07-22,9.03573
2020-07-23,10.36749
2020-07-24,8.74915
2020-07-25,5.73162
2020-07-26,4.39986
2020-07-27,8.31085
2020-07-28,8.42886
2020-07-29,7.93998
2020-07-30,8.59743
2020-07-31,6.7768
