date,천만원투자
2020-03-20,31.7757
2020-03-21,19.62616
2020-03-22,28.97196
2020-03-23,20.56074
2020-03-24,28.97196
2020-03-25,26.16822
2020-03-26,32.71028
2020-03-27,28.97196
2020-03-28,15.88785
2020-03-29,22.4299
2020-03-30,22.4299
2020-03-31,18.69158
2020-04-01,25.23364
2020-04-02,20.56074
2020-04-03,23.36448
2020-04-04,31.7757
2020-04-05,26.16822
2020-04-06,23.36448
2020-04-07,30.84112
2020-04-08,33.64485
2020-04-09,29.90654
2020-04-10,31.7757
2020-04-11,18.69158
2020-04-12,24.29906
2020-04-13,25.23364
2020-04-14,38.31775
2020-04-15,17.757
2020-04-16,50.46728
2020-04-17,35.51401
2020-04-18,39.25233
2020-04-19,33.64485
2020-04-20,48.59813
2020-04-21,38.31775
2020-04-22,33.64485
2020-04-23,37.38317
2020-04-24,28.03738
2020-04-25,22.4299
2020-04-26,11.21495
2020-04-27,38.31775
2020-04-28,28.97196
2020-04-29,33.64485
2020-04-30,15.88785
2020-05-01,11.21495
2020-05-02,35.51401
2020-05-03,46.72897
2020-05-04,43.92523
2020-05-05,45.79439
2020-05-06,29.90654
2020-05-07,32.71028
2020-05-08,18.69158
2020-05-09,12.14953
2020-05-10,21.49532
2020-05-11,28.03738
2020-05-12,35.51401
2020-05-13,28.97196
2020-05-14,27.1028
2020-05-15,23.36448
2020-05-16,11.21495
2020-05-17,12.14953
2020-05-18,27.1028
2020-05-19,37.38317
2020-05-20,46.72897
2020-05-21,23.36448
2020-05-22,13.08411
2020-05-23,12.14953
2020-05-24,25.23364
2020-05-25,42.99065
2020-05-26,38.31775
2020-05-27,33.64485
2020-05-28,31.7757
2020-05-29,21.49532
2020-05-30,15.88785
2020-05-31,22.4299
2020-06-01,35.51401
2020-06-02,25.23364
2020-06-03,35.51401
2020-06-04,21.49532
2020-06-05,30.84112
2020-06-06,15.88785
2020-06-07,17.757
2020-06-08,35.51401
2020-06-09,34.57943
2020-06-10,32.71028
2020-06-11,27.1028
2020-06-12,31.7757
2020-06-13,8.41121
2020-06-14,21.49532
2020-06-15,31.7757
2020-06-16,24.29906
2020-06-17,24.29906
2020-06-18,29.90654
2020-06-19,51.40186
2020-06-20,13.08411
2020-06-21,14.01869
2020-06-22,31.7757
2020-06-23,28.03738
2020-06-24,28.03738
2020-06-25,27.1028
2020-06-26,25.23364
2020-06-27,16.82242
2020-06-28,19.62616
2020-06-29,38.31775
2020-06-30,29.90654
2020-07-01,39.25233
2020-07-02,32.71028
2020-07-03,27.1028
2020-07-04,23.36448
2020-07-05,16.82242
2020-07-06,27.1028
2020-07-07,38.31775
2020-07-08,42.05607
2020-07-09,31.7757
2020-07-10,33.64485
2020-07-11,16.82242
2020-07-12,15.88785
2020-07-13,44.85981
2020-07-14,40.18691
2020-07-15,37.38317
2020-07-16,40.18691
2020-07-17,28.97196
2020-07-18,16.82242
2020-07-19,19.62616
2020-07-20,33.64485
2020-07-21,41.12149
2020-07-22,22.4299
2020-07-23,34.57943
2020-07-24,42.05607
2020-07-25,15.88785
2020-07-26,22.4299
2020-07-27,27.1028
2020-07-28,37.38317
2020-07-29,33.64485
2020-07-30,29.90654
2020-07-31,40.18691
2020-08-01,29.90654
2020-08-02,19.62616
2020-08-03,35.51401
2020-08-04,34.57943
2020-08-05,39.25233
