date,미국증시개장시간
2020-03-20,25.88284
2020-03-21,9.70711
2020-03-22,7.38912
2020-03-23,49.2887
2020-03-24,45.84937
2020-03-25,49.19665
2020-03-26,36.43514
2020-03-27,23.37238
2020-03-28,8.46025
2020-03-29,5.96652
2020-03-30,27.88284
2020-03-31,17.15481
2020-04-01,20.56903
2020-04-02,18.16736
2020-04-03,9.98326
2020-04-04,3.82426
2020-04-05,2.71966
2020-04-06,14.98744
2020-04-07,15.76569
2020-04-08,12.82008
2020-04-09,11.79079
2020-04-10,16.81171
2020-04-11,5.95815
2020-04-12,3.79916
2020-04-13,13.48117
2020-04-14,6.67782
2020-04-15,7.69037
2020-04-16,7.67364
2020-04-17,6.86192
2020-04-18,2.49372
2020-04-19,2.64435
2020-04-20,11.07112
2020-04-21,9.34728
2020-04-22,10.75313
2020-04-23,7.29707
2020-04-24,5.28033
2020-04-25,1.57322
2020-04-26,1.48117
2020-04-27,6.66945
2020-04-28,5.64853
2020-04-29,4.75313
2020-04-30,6.30125
2020-05-01,4.70292
2020-05-02,2.14225
2020-05-03,1.45606
2020-05-04,5.79079
2020-05-05,6.75313
2020-05-06,6.41004
2020-05-07,4.48535
2020-05-08,3.17991
2020-05-09,1.89121
2020-05-10,1.07112
2020-05-11,4.7364
2020-05-12,4.05857
2020-05-13,3.77405
2020-05-14,5.53138
2020-05-15,3.19665
2020-05-16,1.17154
2020-05-17,0.71966
2020-05-18,3.96652
2020-05-19,7.77405
2020-05-20,6.00836
2020-05-21,5.41422
2020-05-22,4.13389
2020-05-23,1.4728
2020-05-24,0.97907
2020-05-25,10.98744
2020-05-26,7.63179
2020-05-27,4.59414
2020-05-28,4.87029
2020-05-29,3.06276
2020-05-30,1.36401
2020-05-31,0.84518
2020-06-01,4.28451
2020-06-02,4.0502
2020-06-03,4.70292
2020-06-04,5.45606
2020-06-05,4.97071
2020-06-06,2.5523
2020-06-07,1.24686
2020-06-08,7.682
2020-06-09,8.68619
2020-06-10,6.78661
2020-06-11,7.58995
2020-06-12,16.20083
2020-06-13,3.89121
2020-06-14,2.16736
2020-06-15,19.77405
2020-06-16,14.30962
2020-06-17,8.25941
2020-06-18,6.43514
2020-06-19,4.14225
2020-06-20,2.05857
2020-06-21,1.24686
2020-06-22,4.82845
2020-06-23,4.56066
2020-06-24,5.24686
2020-06-25,11.55648
2020-06-26,5.37238
2020-06-27,3.03765
2020-06-28,1.8661
2020-06-29,14.65271
2020-06-30,8.42677
2020-07-01,7.00418
2020-07-02,6.99581
2020-07-03,14.89539
2020-07-04,3.97489
2020-07-05,2.10878
2020-07-06,8.25104
2020-07-07,7.58995
2020-07-08,6.62761
2020-07-09,6.84518
2020-07-10,5.22175
2020-07-11,2.59414
2020-07-12,1.61506
2020-07-13,8.10041
2020-07-14,10.0502
2020-07-15,9.62343
2020-07-16,6.63598
2020-07-17,4.05857
2020-07-18,1.6569
2020-07-19,1.2887
2020-07-20,5.13807
2020-07-21,6.58577
2020-07-22,5.99163
2020-07-23,6.47698
2020-07-24,5.93305
2020-07-25,2.21757
2020-07-26,1.21338
2020-07-27,5.6569
2020-07-28,5.17154
2020-07-29,4.78661
2020-07-30,6.34309
2020-07-31,4.37656
2020-08-01,1.62343
2020-08-02,1.08786
2020-08-03,6.00836
2020-08-04,4.99581
2020-08-05,5.18828
2020-08-06,5.06276
2020-08-07,4.2092
2020-08-08,1.52301
2020-08-09,1.34728
2020-08-10,5.58995
2020-08-11,5.60669
2020-08-12,6.78661
2020-08-13,5.89121
2020-08-14,4.16736
2020-08-15,1.32217
2020-08-16,0.97071
2020-08-17,6.51882
2020-08-18,6.26778
2020-08-19,5.74895
2020-08-20,7.55648
2020-08-21,5.71548
2020-08-22,1.99163
2020-08-23,1.64853
2020-08-24,9.15481
2020-08-25,7.59832
2020-08-26,6.97907
2020-08-27,7.77405
