date,CMA계좌
2020-03-20,5.12939
2020-03-21,2.33999
2020-03-22,2.37099
2020-03-23,5.14489
2020-03-24,4.71098
2020-03-25,4.74198
2020-03-26,5.02092
2020-03-27,4.06012
2020-03-28,2.13854
2020-03-29,1.98357
2020-03-30,3.31628
2020-03-31,3.42476
2020-04-01,4.10661
2020-04-02,3.06834
2020-04-03,2.7739
2020-04-04,1.16225
2020-04-05,1.54966
2020-04-06,2.7894
2020-04-07,2.71191
2020-04-08,2.27801
2020-04-09,2.15403
2020-04-10,2.01456
2020-04-11,2.46397
2020-04-12,1.79761
2020-04-13,2.43297
2020-04-14,2.06105
2020-04-15,1.58066
2020-04-16,2.12304
2020-04-17,2.24701
2020-04-18,1.22423
2020-04-19,1.19324
2020-04-20,2.13854
2020-04-21,2.44847
2020-04-22,2.20052
2020-04-23,2.43297
2020-04-24,1.8596
2020-04-25,0.99178
2020-04-26,1.25523
2020-04-27,1.81311
2020-04-28,1.95258
2020-04-29,1.51867
2020-04-30,0.99178
2020-05-01,0.80582
2020-05-02,0.75933
2020-05-03,0.96079
2020-05-04,1.8286
2020-05-05,1.05377
2020-05-06,1.89059
2020-05-07,1.53417
2020-05-08,1.53417
2020-05-09,0.8988
2020-05-10,0.88331
2020-05-11,1.47218
2020-05-12,1.68913
2020-05-13,1.33271
2020-05-14,1.42569
2020-05-15,1.73562
2020-05-16,0.60437
2020-05-17,0.8988
2020-05-18,1.8286
2020-05-19,1.50317
2020-05-20,1.73562
2020-05-21,1.61165
2020-05-22,1.31721
2020-05-23,0.80582
2020-05-24,0.82132
2020-05-25,1.59615
2020-05-26,1.48768
2020-05-27,1.73562
2020-05-28,1.81311
2020-05-29,1.50317
2020-05-30,0.85231
2020-05-31,0.79033
2020-06-01,1.54966
2020-06-02,1.8286
2020-06-03,2.01456
2020-06-04,1.64264
2020-06-05,1.76662
2020-06-06,0.65086
2020-06-07,0.94529
2020-06-08,2.24701
2020-06-09,2.35549
2020-06-10,2.03006
2020-06-11,1.87509
2020-06-12,1.62715
2020-06-13,1.10026
2020-06-14,1.03827
2020-06-15,1.8286
2020-06-16,1.90609
2020-06-17,1.96807
