date,대부대출
2020-03-20,37.23723
2020-03-21,9.75975
2020-03-22,10.81081
2020-03-23,50.3003
2020-03-24,46.69669
2020-03-25,47.14714
2020-03-26,40.09009
2020-03-27,37.38738
2020-03-28,10.66066
2020-03-29,10.81081
2020-03-30,40.09009
2020-03-31,45.94594
2020-04-01,48.64864
2020-04-02,38.58858
2020-04-03,35.88588
2020-04-04,11.56156
2020-04-05,9.6096
2020-04-06,49.39939
2020-04-07,45.94594
2020-04-08,44.29429
2020-04-09,45.94594
2020-04-10,46.54654
2020-04-11,18.91891
2020-04-12,10.66066
2020-04-13,53.45345
2020-04-14,42.64264
2020-04-15,18.76876
2020-04-16,44.74474
2020-04-17,38.43843
2020-04-18,19.36936
2020-04-19,14.86486
2020-04-20,54.35435
2020-04-21,42.64264
2020-04-22,45.94594
2020-04-23,46.69669
2020-04-24,41.14114
2020-04-25,14.41441
2020-04-26,11.26126
2020-04-27,51.8018
2020-04-28,46.54654
2020-04-29,35.88588
2020-04-30,13.21321
2020-05-01,18.91891
2020-05-02,7.5075
2020-05-03,9.75975
2020-05-04,50.9009
2020-05-05,15.91591
2020-05-06,47.74774
2020-05-07,46.39639
2020-05-08,37.68768
2020-05-09,11.11111
2020-05-10,12.31231
2020-05-11,51.35135
2020-05-12,42.94294
2020-05-13,41.89189
2020-05-14,34.23423
2020-05-15,33.03303
2020-05-16,10.21021
2020-05-17,10.96096
2020-05-18,50.3003
2020-05-19,38.58858
2020-05-20,45.79579
2020-05-21,40.84084
2020-05-22,34.38438
2020-05-23,14.11411
2020-05-24,10.36036
2020-05-25,46.84684
2020-05-26,33.18318
2020-05-27,38.13813
2020-05-28,29.87987
2020-05-29,24.32432
2020-05-30,8.1081
2020-05-31,8.4084
2020-06-01,36.78678
2020-06-02,33.03303
2020-06-03,31.68168
2020-06-04,32.73273
2020-06-05,27.62762
2020-06-06,8.1081
2020-06-07,8.7087
2020-06-08,35.43543
2020-06-09,31.53153
2020-06-10,43.09309
2020-06-11,38.88888
2020-06-12,30.03003
2020-06-13,8.85885
2020-06-14,8.55855
2020-06-15,50.45045
2020-06-16,45.19519
2020-06-17,38.13813
2020-06-18,37.68768
2020-06-19,36.63663
2020-06-20,13.21321
2020-06-21,10.51051
2020-06-22,44.74474
2020-06-23,40.39039
2020-06-24,41.44144
2020-06-25,40.09009
2020-06-26,33.63363
2020-06-27,12.46246
2020-06-28,12.61261
2020-06-29,48.64864
2020-06-30,38.13813
2020-07-01,37.38738
2020-07-02,38.58858
2020-07-03,28.97897
2020-07-04,8.25825
2020-07-05,9.6096
2020-07-06,39.33933
2020-07-07,46.09609
2020-07-08,37.38738
2020-07-09,35.13513
2020-07-10,35.43543
2020-07-11,10.96096
2020-07-12,9.3093
2020-07-13,47.59759
2020-07-14,46.09609
2020-07-15,44.14414
2020-07-16,35.43543
2020-07-17,40.24024
2020-07-18,10.21021
2020-07-19,11.41141
2020-07-20,60.06006
2020-07-21,40.99099
2020-07-22,36.78678
2020-07-23,33.48348
2020-07-24,36.03603
2020-07-25,8.4084
2020-07-26,12.01201
2020-07-27,58.25825
2020-07-28,43.69369
2020-07-29,41.89189
2020-07-30,34.08408
2020-07-31,33.48348
2020-08-01,13.51351
2020-08-02,11.26126
2020-08-03,46.54654
2020-08-04,33.63363
2020-08-05,36.03603
2020-08-06,34.68468
2020-08-07,30.48048
2020-08-08,10.66066
2020-08-09,12.91291
2020-08-10,44.59459
2020-08-11,38.88888
2020-08-12,42.19219
2020-08-13,39.18918
2020-08-14,34.23423
2020-08-15,12.16216
2020-08-16,10.81081
2020-08-17,17.41741
2020-08-18,51.65165
2020-08-19,39.48948
2020-08-20,37.68768
2020-08-21,37.38738
2020-08-22,10.21021
2020-08-23,10.51051
2020-08-24,43.54354
2020-08-25,48.79879
2020-08-26,38.13813
2020-08-27,41.59159
2020-08-28,32.73273
2020-08-29,9.75975
2020-08-30,16.51651
2020-08-31,44.59459
2020-09-01,40.99099
2020-09-02,40.54054
2020-09-03,34.83483
2020-09-04,33.93393
2020-09-05,9.9099
2020-09-06,10.96096
2020-09-07,42.19219
2020-09-08,35.58558
2020-09-09,30.18018
2020-09-10,38.73873
2020-09-11,43.09309
2020-09-12,12.46246
2020-09-13,12.61261
2020-09-14,47.59759
2020-09-15,44.74474
2020-09-16,45.94594
2020-09-17,42.19219
2020-09-18,37.83783
2020-09-19,15.91591
2020-09-20,14.26426
2020-09-21,43.99399
2020-09-22,31.08108
2020-09-23,39.78978
2020-09-24,36.18618
2020-09-25,36.63663
2020-09-26,13.96396
2020-09-27,16.06606
2020-09-28,43.09309
2020-09-29,31.38138
2020-09-30,6.75675
2020-10-01,9.6096
2020-10-02,11.26126
2020-10-03,6.6066
2020-10-04,9.75975
2020-10-05,64.11411
2020-10-06,40.09009
2020-10-07,51.5015
2020-10-08,37.08708
2020-10-09,10.66066
2020-10-10,7.35735
2020-10-11,13.06306
2020-10-12,45.64564
2020-10-13,43.99399
2020-10-14,46.54654
2020-10-15,36.33633
2020-10-16,32.88288
2020-10-17,8.1081
2020-10-18,15.91591
2020-10-19,47.44744
2020-10-20,48.34834
2020-10-21,43.84384
2020-10-22,30.18018
2020-10-23,28.52852
2020-10-24,10.96096
2020-10-25,10.51051
2020-10-26,45.94594
2020-10-27,39.93993
2020-10-28,39.03903
2020-10-29,36.93693
2020-10-30,33.78378
2020-10-31,11.26126
2020-11-01,10.81081
2020-11-02,40.24024
2020-11-03,30.63063
2020-11-04,36.48648
2020-11-05,30.48048
2020-11-06,24.62462
2020-11-07,10.06006
2020-11-08,9.6096
2020-11-09,40.09009
2020-11-10,39.93993
2020-11-11,34.83483
2020-11-12,33.48348
2020-11-13,38.88888
2020-11-14,13.06306
2020-11-15,10.96096
2020-11-16,43.69369
2020-11-17,35.73573
2020-11-18,39.03903
2020-11-19,39.78978
2020-11-20,30.78078
2020-11-21,10.21021
2020-11-22,10.51051
2020-11-23,49.09909
2020-11-24,42.64264
2020-11-25,46.39639
2020-11-26,41.29129
2020-11-27,38.43843
2020-11-28,10.96096
2020-11-29,9.6096
2020-11-30,43.84384
2020-12-01,40.69069
2020-12-02,34.23423
2020-12-03,29.27927
2020-12-04,30.48048
2020-12-05,5.85585
2020-12-06,8.1081
2020-12-07,40.09009
2020-12-08,36.93693
2020-12-09,36.78678
2020-12-10,38.58858
2020-12-11,31.38138
2020-12-12,9.3093
2020-12-13,10.06006
2020-12-14,53.003
2020-12-15,42.34234
2020-12-16,39.48948
2020-12-17,42.04204
2020-12-18,39.33933
2020-12-19,14.56456
2020-12-20,10.51051
2020-12-21,45.49549
2020-12-22,46.39639
2020-12-23,45.64564
2020-12-24,37.83783
2020-12-25,9.15915
2020-12-26,9.6096
2020-12-27,10.21021
2020-12-28,61.71171
2020-12-29,42.94294
2020-12-30,42.94294
2020-12-31,31.83183
2021-01-01,10.66066
2021-01-02,9.9099
2021-01-03,15.16516
2021-01-04,57.65765
2021-01-05,35.43543
2021-01-06,39.18918
2021-01-07,36.48648
2021-01-08,32.73273
2021-01-09,15.31531
2021-01-10,14.86486
2021-01-11,61.71171
2021-01-12,42.49249
2021-01-13,38.88888
2021-01-14,39.33933
2021-01-15,36.93693
2021-01-16,12.46246
2021-01-17,13.66366
2021-01-18,42.04204
2021-01-19,38.88888
2021-01-20,42.49249
2021-01-21,40.54054
2021-01-22,37.83783
2021-01-23,12.01201
2021-01-24,11.26126
2021-01-25,52.25225
2021-01-26,40.54054
2021-01-27,34.83483
2021-01-28,33.93393
2021-01-29,31.98198
2021-01-30,12.91291
2021-01-31,10.51051
2021-02-01,40.69069
2021-02-02,43.99399
2021-02-03,36.63663
2021-02-04,38.88888
2021-02-05,39.63963
2021-02-06,11.86186
2021-02-07,8.85885
2021-02-08,35.58558
2021-02-09,29.87987
2021-02-10,35.43543
2021-02-11,10.81081
2021-02-12,7.35735
2021-02-13,8.7087
2021-02-14,10.66066
2021-02-15,43.69369
2021-02-16,40.39039
2021-02-17,44.59459
2021-02-18,40.24024
2021-02-19,36.78678
2021-02-20,14.26426
2021-02-21,14.11411
2021-02-22,47.14714
2021-02-23,41.14114
2021-02-24,50.15015
2021-02-25,44.74474
2021-02-26,38.88888
2021-02-27,9.75975
2021-02-28,11.26126
