date,주식전망
2020-03-20,87.5344
2020-03-21,53.00825
2020-03-22,53.12622
2020-03-23,78.52929
2020-03-24,80.5348
2020-03-25,100.0
2020-03-26,73.8891
2020-03-27,56.78332
2020-03-28,34.76209
2020-03-29,41.68305
2020-03-30,46.48053
2020-03-31,46.48053
2020-04-01,46.79512
2020-04-02,37.31812
2020-04-03,28.03775
2020-04-04,20.60558
2020-04-05,25.04915
2020-04-06,49.07589
2020-04-07,51.55328
2020-04-08,36.02044
2020-04-09,41.4471
2020-04-10,35.74518
2020-04-11,26.50412
2020-04-12,31.06567
2020-04-13,36.33503
2020-04-14,30.75108
2020-04-15,20.60558
2020-04-16,30.23987
2020-04-17,44.593
2020-04-18,24.85253
2020-04-19,28.31301
2020-04-20,30.90837
2020-04-21,28.31301
2020-04-22,27.52654
2020-04-23,20.05505
2020-04-24,20.48761
2020-04-25,13.60597
2020-04-26,18.56075
2020-04-27,22.37514
2020-04-28,18.40346
2020-04-29,16.16201
2020-04-30,12.70153
2020-05-01,9.75226
2020-05-02,10.81399
2020-05-03,13.84191
2020-05-04,17.42036
2020-05-05,18.4821
2020-05-06,16.75186
2020-05-07,13.40935
2020-05-08,12.46559
2020-05-09,10.73535
2020-05-10,12.62288
2020-05-11,14.39244
2020-05-12,15.8081
2020-05-13,13.25206
2020-05-14,13.72394
2020-05-15,11.52182
2020-05-16,6.56704
2020-05-17,9.28037
2020-05-18,11.44317
2020-05-19,15.10027
2020-05-20,13.92056
2020-05-21,13.68462
2020-05-22,11.44317
2020-05-23,9.59496
2020-05-24,12.89815
2020-05-25,13.56665
2020-05-26,17.9709
2020-05-27,15.72945
2020-05-28,16.35863
2020-05-29,12.19032
2020-05-30,8.88714
2020-05-31,11.12858
2020-06-01,14.11718
2020-06-02,16.20133
2020-06-03,25.32441
2020-06-04,19.74046
2020-06-05,16.83051
2020-06-06,12.54423
2020-06-07,17.34172
2020-06-08,19.38655
2020-06-09,17.65631
2020-06-10,14.35312
2020-06-11,17.8136
2020-06-12,25.59968
2020-06-13,11.04994
2020-06-14,17.02713
2020-06-15,49.46913
2020-06-16,32.52064
2020-06-17,18.04954
2020-06-18,12.19032
2020-06-19,12.38694
2020-06-20,9.59496
2020-06-21,10.61738
2020-06-22,13.17341
2020-06-23,10.61738
2020-06-24,10.73535
2020-06-25,15.53283
2020-06-26,10.30279
2020-06-27,9.08375
2020-06-28,10.81399
2020-06-29,18.75737
2020-06-30,10.89264
2020-07-01,8.72984
2020-07-02,7.70743
2020-07-03,6.84231
2020-07-04,4.44357
2020-07-05,8.10066
2020-07-06,12.151
2020-07-07,10.30279
2020-07-08,7.43216
2020-07-09,8.57255
2020-07-10,8.41525
