date,오늘의주식시장
2020-03-20,3.77833
2020-03-21,0.4408
2020-03-22,0.50377
2020-03-23,3.80982
2020-03-24,3.43198
2020-03-25,3.30604
2020-03-26,3.90428
2020-03-27,3.90428
2020-03-28,0.25188
2020-03-29,0.18891
2020-03-30,2.17254
2020-03-31,1.10201
2020-04-01,1.82619
2020-04-02,1.19647
2020-04-03,0.94458
2020-04-04,0.47229
2020-04-06,1.22795
2020-04-07,1.41687
2020-04-08,0.91309
2020-04-09,1.22795
2020-04-10,0.85012
2020-04-13,0.91309
2020-04-14,0.47229
2020-04-15,1.29093
2020-04-16,0.94458
2020-04-17,0.59823
2020-04-20,0.40931
2020-04-21,1.25944
2020-04-22,0.53526
2020-04-23,0.47229
2020-04-24,0.78715
2020-04-27,0.34634
2020-04-28,0.56675
2020-04-29,0.47229
2020-04-30,0.4408
2020-05-01,1.10201
2020-05-02,0.18891
2020-05-04,1.38539
2020-05-06,0.50377
2020-05-07,0.40931
2020-05-08,0.2204
2020-05-11,0.47229
2020-05-12,0.6612
2020-05-13,0.40931
2020-05-14,1.16498
2020-05-15,0.62972
2020-05-18,0.28337
2020-05-19,0.37783
2020-05-20,0.25188
2020-05-21,0.37783
2020-05-22,1.22795
2020-05-23,0.18891
2020-05-25,1.00755
2020-05-26,1.32241
2020-05-27,0.91309
2020-05-28,1.07052
2020-05-29,1.00755
2020-06-01,0.69269
2020-06-02,0.75566
2020-06-03,1.38539
2020-06-04,0.72418
2020-06-05,0.94458
2020-06-08,0.56675
2020-06-09,0.97607
2020-06-10,0.97607
2020-06-11,1.25944
2020-06-12,1.98362
2020-06-13,0.18891
2020-06-15,4.43954
2020-06-16,1.88916
2020-06-17,1.32241
2020-06-18,0.75566
2020-06-19,1.16498
2020-06-22,1.00755
2020-06-23,0.91309
2020-06-24,1.1335
2020-06-25,1.5743
2020-06-26,0.85012
2020-06-29,0.94458
2020-06-30,0.91309
2020-07-01,0.47229
2020-07-02,0.47229
2020-07-03,0.53526
2020-07-06,1.03904
2020-07-07,0.97607
2020-07-08,0.56675
2020-07-09,0.47229
2020-07-10,0.53526
2020-07-11,0.18891
2020-07-13,0.94458
2020-07-14,0.56675
2020-07-15,0.69269
2020-07-16,0.81863
2020-07-17,0.88161
2020-07-20,0.31486
2020-07-21,0.85012
2020-07-22,0.91309
2020-07-23,0.72418
2020-07-24,0.50377
2020-07-27,0.69269
