date,안양아파트
2020-03-20,19.778
2020-03-21,21.59434
2020-03-22,24.92431
2020-03-23,22.09889
2020-03-24,24.92431
2020-03-25,20.78708
2020-03-26,20.08072
2020-03-27,19.37436
2020-03-28,18.76892
2020-03-29,25.22704
2020-03-30,23.20887
2020-03-31,25.83249
2020-04-01,25.32795
2020-04-02,26.84157
2020-04-03,20.48435
2020-04-04,21.39253
2020-04-05,25.12613
2020-04-06,23.61251
2020-04-07,22.90615
2020-04-08,22.40161
2020-04-09,22.19979
2020-04-10,21.89707
2020-04-11,20.58526
2020-04-12,24.52068
2020-04-13,25.12613
2020-04-14,22.40161
2020-04-15,24.92431
2020-04-16,21.49344
2020-04-17,23.71342
2020-04-18,23.41069
2020-04-19,27.14429
2020-04-20,28.35519
2020-04-21,24.52068
2020-04-22,26.23612
2020-04-23,24.82341
2020-04-24,21.39253
2020-04-25,18.5671
2020-04-26,26.94248
2020-04-27,24.92431
2020-04-28,23.41069
2020-04-29,19.27346
2020-04-30,20.9889
2020-05-01,26.13521
2020-05-02,22.09889
2020-05-03,23.30978
2020-05-04,24.82341
2020-05-05,25.52976
2020-05-06,28.15338
2020-05-07,24.41977
2020-05-08,19.07164
2020-05-09,24.01614
2020-05-10,23.5116
2020-05-11,25.42885
2020-05-12,20.18163
2020-05-13,22.50252
2020-05-14,23.20887
2020-05-15,16.54894
2020-05-16,19.47527
2020-05-17,27.54793
2020-05-18,27.34611
2020-05-19,22.40161
2020-05-20,28.05247
2020-05-21,24.52068
2020-05-22,22.90615
2020-05-23,22.80524
2020-05-24,28.25428
2020-05-25,26.33703
2020-05-26,22.3007
2020-05-27,17.25529
2020-05-28,19.778
2020-05-29,21.29162
2020-05-30,20.48435
2020-05-31,31.48335
2020-06-01,28.4561
2020-06-02,23.61251
2020-06-03,23.10797
2020-06-04,20.18163
2020-06-05,19.97981
2020-06-06,24.41977
2020-06-07,27.85065
2020-06-08,27.34611
2020-06-09,26.43794
2020-06-10,25.83249
2020-06-11,27.95156
2020-06-12,27.85065
2020-06-13,26.74066
2020-06-14,30.27245
2020-06-15,29.56609
2020-06-16,27.34611
2020-06-17,34.00605
2020-06-18,30.8779
2020-06-19,26.43794
2020-06-20,27.85065
2020-06-21,28.15338
2020-06-22,31.58425
2020-06-23,32.79515
2020-06-24,27.64883
2020-06-25,25.83249
2020-06-26,24.31886
2020-06-27,28.15338
2020-06-28,32.39152
2020-06-29,33.70332
2020-06-30,21.79616
2020-07-01,28.35519
2020-07-02,25.22704
2020-07-03,24.82341
2020-07-04,25.52976
2020-07-05,30.57517
2020-07-06,33.70332
2020-07-07,30.9788
2020-07-08,32.29061
2020-07-09,29.76791
2020-07-10,29.16246
2020-07-11,23.91523
2020-07-12,31.68516
2020-07-13,33.50151
2020-07-14,28.65792
2020-07-15,35.11604
2020-07-16,28.05247
2020-07-17,29.46518
2020-07-18,28.15338
2020-07-19,35.31786
2020-07-20,30.07063
2020-07-21,34.51059
2020-07-22,26.43794
2020-07-23,26.74066
2020-07-24,27.44702
2020-07-25,25.63067
2020-07-26,29.26337
2020-07-27,30.8779
2020-07-28,28.05247
2020-07-29,29.56609
2020-07-30,27.95156
2020-07-31,26.74066
2020-08-01,27.44702
2020-08-02,25.42885
2020-08-03,31.28153
2020-08-04,25.73158
2020-08-05,26.33703
2020-08-06,23.91523
2020-08-07,26.63975
2020-08-08,24.92431
2020-08-09,27.44702
2020-08-10,28.85973
2020-08-11,29.56609
2020-08-12,22.80524
2020-08-13,25.63067
2020-08-14,23.71342
2020-08-15,27.2452
2020-08-16,27.95156
2020-08-17,32.1897
2020-08-18,24.62159
2020-08-19,24.21796
2020-08-20,20.9889
2020-08-21,23.61251
2020-08-22,22.70433
2020-08-23,25.83249
2020-08-24,27.34611
2020-08-25,24.01614
2020-08-26,25.32795
2020-08-27,24.11705
2020-08-28,21.39253
2020-08-29,24.01614
2020-08-30,23.20887
2020-08-31,25.83249
2020-09-01,24.01614
2020-09-02,22.90615
2020-09-03,23.41069
2020-09-04,24.52068
2020-09-05,25.22704
2020-09-06,30.57517
2020-09-07,27.74974
2020-09-08,26.33703
2020-09-09,29.16246
2020-09-10,22.70433
2020-09-11,23.00706
2020-09-12,22.70433
2020-09-13,31.68516
2020-09-14,24.21796
2020-09-15,26.33703
2020-09-16,24.7225
2020-09-17,23.61251
2020-09-18,21.29162
2020-09-19,28.35519
2020-09-20,26.33703
2020-09-21,31.28153
2020-09-22,25.83249
2020-09-23,25.73158
2020-09-24,73.05751
2020-09-25,27.34611
2020-09-26,22.50252
2020-09-27,24.92431
2020-09-28,25.83249
2020-09-29,20.28254
2020-09-30,20.88799
2020-10-01,21.49344
2020-10-02,31.28153
2020-10-03,26.74066
2020-10-04,33.90514
2020-10-05,28.05247
2020-10-06,26.84157
2020-10-07,25.42885
2020-10-08,26.23612
2020-10-09,26.0343
2020-10-10,30.07063
2020-10-11,28.4561
2020-10-12,36.32694
2020-10-13,29.96972
2020-10-14,26.94248
2020-10-15,25.9334
2020-10-16,26.33703
2020-10-17,28.05247
2020-10-18,27.54793
2020-10-19,29.667
2020-10-20,32.49243
2020-10-21,28.85973
2020-10-22,26.33703
2020-10-23,26.63975
2020-10-24,29.46518
2020-10-25,26.13521
2020-10-26,31.48335
2020-10-27,26.53884
2020-10-28,30.57517
2020-10-29,21.69525
2020-10-30,23.81432
2020-10-31,25.42885
2020-11-01,29.46518
2020-11-02,32.79515
2020-11-03,29.06155
2020-11-04,28.15338
2020-11-05,25.83249
2020-11-06,32.79515
2020-11-07,28.25428
2020-11-08,35.62058
2020-11-09,35.41876
2020-11-10,29.06155
2020-11-11,31.78607
2020-11-12,34.51059
2020-11-13,32.59334
2020-11-14,33.60242
2020-11-15,45.00504
2020-11-16,39.75782
2020-11-17,39.05146
2020-11-18,34.51059
2020-11-19,36.73057
2020-11-20,36.83148
2020-11-21,42.58324
2020-11-22,35.31786
2020-11-23,34.91422
2020-11-24,33.90514
2020-11-25,32.1897
2020-11-26,34.20787
2020-11-27,31.07971
2020-11-28,30.17154
2020-11-29,34.20787
2020-11-30,37.63874
2020-12-01,43.79414
2020-12-02,37.1342
2020-12-03,32.49243
2020-12-04,47.42684
2020-12-05,39.25327
2020-12-06,35.01513
2020-12-07,40.86781
2020-12-08,36.42785
2020-12-09,40.56508
2020-12-10,40.36326
2020-12-11,35.9233
2020-12-12,37.53784
2020-12-13,40.36326
2020-12-14,39.35418
2020-12-15,36.52875
2020-12-16,37.94147
2020-12-17,30.77699
2020-12-18,31.07971
2020-12-19,35.31786
2020-12-20,40.06054
2020-12-21,36.62966
2020-12-22,35.41876
2020-12-23,32.1897
2020-12-24,27.54793
2020-12-25,30.27245
2020-12-26,31.98789
2020-12-27,39.15237
2020-12-28,32.08879
2020-12-29,33.19878
2020-12-30,33.09788
2020-12-31,29.36427
2021-01-01,35.41876
2021-01-02,32.59334
2021-01-03,37.73965
2021-01-04,34.81331
2021-01-05,36.52875
2021-01-06,35.9233
2021-01-07,32.1897
2021-01-08,34.6115
2021-01-09,34.51059
2021-01-10,33.50151
2021-01-11,33.80423
2021-01-12,33.09788
2021-01-13,34.40968
2021-01-14,34.10696
2021-01-15,31.48335
2021-01-16,35.21695
2021-01-17,35.8224
2021-01-18,36.93239
2021-01-19,31.07971
2021-01-20,37.23511
2021-01-21,34.00605
2021-01-22,34.91422
2021-01-23,37.63874
2021-01-24,41.17053
2021-01-25,42.0787
2021-01-26,36.62966
2021-01-27,35.9233
2021-01-28,35.51967
2021-01-29,31.88698
2021-01-30,38.64783
2021-01-31,39.05146
2021-02-01,35.9233
2021-02-02,33.19878
2021-02-03,32.49243
2021-02-04,29.86881
2021-02-05,29.96972
2021-02-06,30.47426
2021-02-07,36.32694
2021-02-08,41.06962
2021-02-09,34.71241
2021-02-10,33.80423
2021-02-11,31.38244
2021-02-12,35.31786
2021-02-13,39.65691
2021-02-14,42.58324
2021-02-15,40.66599
2021-02-16,36.62966
2021-02-17,39.15237
2021-02-18,36.62966
2021-02-19,31.98789
2021-02-20,31.28153
2021-02-21,38.14328
2021-02-22,35.51967
2021-02-23,35.62058
2021-02-24,34.20787
2021-02-25,33.29969
