date,CJ제일제당주가
2020-03-20,4.86967
2020-03-21,1.07324
2020-03-22,0.94805
2020-03-23,4.18325
2020-03-24,3.99336
2020-03-25,4.08901
2020-03-26,3.74861
2020-03-27,3.55449
2020-03-28,0.63156
2020-03-29,0.71033
2020-03-30,3.48135
2020-03-31,3.31537
2020-04-01,4.07213
2020-04-02,4.06509
2020-04-03,3.46447
2020-04-04,0.64703
2020-04-05,0.53591
2020-04-06,4.26624
2020-04-07,4.50817
2020-04-08,3.84566
2020-04-09,3.36601
2020-04-10,3.53339
2020-04-11,0.66813
2020-04-12,0.53591
2020-04-13,3.36882
2020-04-14,3.03686
2020-04-15,0.65266
2020-04-16,2.82446
2020-04-17,3.0031
2020-04-18,0.6611
2020-04-19,0.56545
2020-04-20,2.81602
2020-04-21,2.83853
2020-04-22,3.06499
2020-04-23,3.65718
2020-04-24,4.51239
2020-04-25,0.80036
2020-04-26,0.60765
2020-04-27,4.65587
2020-04-28,4.21701
2020-04-29,3.56997
2020-04-30,0.67798
2020-05-01,0.5753
2020-05-02,0.35446
2020-05-03,0.33336
2020-05-04,2.81462
2020-05-05,0.83974
2020-05-06,3.94412
2020-05-07,3.54465
2020-05-08,3.30834
2020-05-09,0.54295
2020-05-10,0.48106
2020-05-11,3.26192
2020-05-12,3.89067
2020-05-13,3.92584
2020-05-14,4.63758
2020-05-15,6.07936
2020-05-16,0.96915
2020-05-17,0.69345
2020-05-18,4.58694
2020-05-19,4.5138
2020-05-20,3.79784
2020-05-21,3.74439
2020-05-22,3.43071
2020-05-23,0.54717
2020-05-24,0.43042
2020-05-25,3.35335
2020-05-26,3.62764
2020-05-27,4.2578
2020-05-28,3.46025
2020-05-29,2.84978
2020-05-30,0.41776
2020-05-31,0.38259
2020-06-01,3.03264
2020-06-02,3.12548
2020-06-03,3.29286
2020-06-04,3.1311
2020-06-05,2.82728
2020-06-06,0.54435
2020-06-07,0.52747
2020-06-08,2.73585
2020-06-09,3.11985
2020-06-10,4.97798
2020-06-11,3.97929
2020-06-12,4.08057
2020-06-13,0.64703
2020-06-14,0.49371
2020-06-15,4.67697
2020-06-16,4.11573
2020-06-17,3.7908
2020-06-18,3.48979
2020-06-19,3.24785
2020-06-20,0.384
2020-06-21,0.34461
2020-06-22,2.88214
2020-06-23,3.33788
2020-06-24,3.19581
2020-06-25,2.92293
2020-06-26,3.12548
2020-06-27,0.9157
2020-06-28,0.82849
2020-06-29,2.80196
2020-06-30,3.08187
2020-07-01,3.41946
2020-07-02,4.06791
2020-07-03,3.705
2020-07-04,0.64563
2020-07-05,0.52325
2020-07-06,3.49401
2020-07-07,3.47713
2020-07-08,3.1944
2020-07-09,4.11995
2020-07-10,3.95819
2020-07-11,0.54576
2020-07-12,0.44026
2020-07-13,3.77111
2020-07-14,4.55881
2020-07-15,4.15934
2020-07-16,3.66843
2020-07-17,3.62201
2020-07-18,0.51341
2020-07-19,0.38963
2020-07-20,3.36179
2020-07-21,3.12126
2020-07-22,2.99466
2020-07-23,3.44337
2020-07-24,2.84134
2020-07-25,0.45574
2020-07-26,0.49653
2020-07-27,2.84416
2020-07-28,2.70772
2020-07-29,2.62895
2020-07-30,2.36591
2020-07-31,2.99607
2020-08-01,1.05073
2020-08-02,0.60062
2020-08-03,4.95548
2020-08-04,4.16778
2020-08-05,3.81612
2020-08-06,4.05806
2020-08-07,3.78658
2020-08-08,0.7258
2020-08-09,0.8735
2020-08-10,3.89911
2020-08-11,6.87268
2020-08-12,6.83752
2020-08-13,5.06238
2020-08-14,4.29296
2020-08-15,0.73846
2020-08-16,0.62031
2020-08-17,0.93961
2020-08-18,4.38017
2020-08-19,3.85973
2020-08-20,4.35063
2020-08-21,3.65999
2020-08-22,0.6386
2020-08-23,0.54717
2020-08-24,3.99195
2020-08-25,3.91177
2020-08-26,3.82597
2020-08-27,4.30703
2020-08-28,5.04831
2020-08-29,1.56414
2020-08-30,2.18727
2020-08-31,7.41423
2020-09-01,6.67716
2020-09-02,7.27497
2020-09-03,6.39303
2020-09-04,6.18204
2020-09-05,2.26182
2020-09-06,1.81171
2020-09-07,7.35937
2020-09-08,7.30732
2020-09-09,8.75894
2020-09-10,10.68459
2020-09-11,9.38348
2020-09-12,2.66833
2020-09-13,2.38701
2020-09-14,9.36941
2020-09-15,8.19208
2020-09-16,8.61969
2020-09-17,7.75603
2020-09-18,6.52947
2020-09-19,2.50376
2020-09-20,2.35325
2020-09-21,7.39172
2020-09-22,7.08367
2020-09-23,6.64341
2020-09-24,7.64632
2020-09-25,5.56454
2020-09-26,1.50085
2020-09-27,1.65979
2020-09-28,5.83179
2020-09-29,4.94422
2020-09-30,1.54586
2020-10-01,1.34049
2020-10-02,1.29829
2020-10-03,1.17592
2020-10-04,2.342
2020-10-05,7.03163
2020-10-06,8.52545
2020-10-07,7.3453
2020-10-08,6.00762
2020-10-09,1.80327
2020-10-10,1.4066
2020-10-11,1.35737
2020-10-12,6.10045
2020-10-13,6.9824
2020-10-14,5.88384
2020-10-15,5.39434
2020-10-16,4.87249
2020-10-17,1.2997
2020-10-18,1.26594
2020-10-19,5.26634
2020-10-20,5.10739
2020-10-21,4.63899
2020-10-22,4.65727
