date,오늘의주가
2020-03-20,100.0
2020-03-21,8.54446
2020-03-22,4.22255
2020-03-23,91.35618
2020-03-24,88.32588
2020-03-25,83.10978
2020-03-26,94.28713
2020-03-27,88.22652
2020-03-28,10.1838
2020-03-29,3.0303
2020-03-30,84.94783
2020-03-31,62.19572
2020-04-01,79.98012
2020-04-02,76.90014
2020-04-03,66.66666
2020-04-04,7.30253
2020-04-05,3.92449
2020-04-06,60.15896
2020-04-07,63.43765
2020-04-08,60.15896
2020-04-09,57.82414
2020-04-10,60.15896
2020-04-11,5.66318
2020-04-12,2.33482
2020-04-13,55.88673
2020-04-14,45.95131
2020-04-15,9.04123
2020-04-16,51.51515
2020-04-17,47.14356
2020-04-18,5.81222
2020-04-19,2.08643
2020-04-20,49.82613
2020-04-21,65.12667
2020-04-22,54.49577
2020-04-23,44.65971
2020-04-24,45.85196
2020-04-25,4.37158
2020-04-26,2.03676
2020-04-27,41.18231
2020-04-28,42.02682
2020-04-29,38.10233
2020-04-30,6.30899
2020-05-01,8.24639
2020-05-02,3.52707
2020-05-03,1.78837
2020-05-04,42.17585
2020-05-05,5.81222
2020-05-06,36.56234
2020-05-07,36.81073
2020-05-08,27.76949
2020-05-09,4.37158
2020-05-10,1.73869
2020-05-11,36.01589
2020-05-12,38.35072
2020-05-13,38.40039
2020-05-14,38.74813
2020-05-15,39.34426
2020-05-16,4.769
2020-05-17,2.13611
2020-05-18,32.7372
2020-05-19,33.03527
2020-05-20,31.39592
2020-05-21,33.73075
2020-05-22,35.86686
2020-05-23,3.62642
2020-05-24,2.08643
2020-05-25,30.10432
2020-05-26,35.41977
2020-05-27,36.01589
2020-05-28,37.80427
2020-05-29,32.98559
2020-05-30,3.72578
2020-05-31,2.08643
2020-06-01,34.87332
2020-06-02,34.12816
2020-06-03,37.80427
2020-06-04,42.77198
2020-06-05,34.07848
2020-06-06,3.17933
2020-06-07,1.98708
2020-06-08,38.74813
2020-06-09,35.27074
2020-06-10,31.4456
2020-06-11,34.22752
2020-06-12,44.26229
2020-06-13,4.17287
2020-06-14,2.33482
2020-06-15,55.04222
2020-06-16,47.54098
2020-06-17,54.6448
2020-06-18,37.55588
2020-06-19,40.78489
2020-06-20,3.77545
2020-06-21,1.83805
2020-06-22,35.07203
2020-06-23,33.8301
2020-06-24,31.29657
2020-06-25,40.9836
2020-06-26,34.12816
2020-06-27,3.32836
2020-06-28,1.78837
2020-06-29,36.56234
2020-06-30,34.32687
2020-07-01,30.9985
2020-07-02,29.90561
2020-07-03,28.71336
2020-07-04,3.32836
2020-07-05,1.2916
2020-07-06,26.52757
2020-07-07,30.00496
2020-07-08,27.62046
2020-07-09,27.27272
2020-07-10,29.85593
2020-07-11,2.63288
2020-07-12,0.99354
2020-07-13,25.63338
2020-07-14,28.71336
2020-07-15,29.75658
2020-07-16,31.99205
2020-07-17,32.04172
2020-07-18,3.97416
2020-07-19,1.34128
2020-07-20,35.66815
2020-07-21,31.64431
2020-07-22,34.62493
2020-07-23,35.41977
2020-07-24,33.63139
2020-07-25,2.78191
2020-07-26,1.44063
2020-07-27,29.30948
2020-07-28,28.46497
2020-07-29,30.50173
2020-07-30,30.94883
2020-07-31,27.47143
2020-08-01,3.92449
2020-08-02,1.73869
2020-08-03,30.3527
2020-08-04,30.40238
2020-08-05,31.04818
2020-08-06,29.65722
2020-08-07,30.25335
2020-08-08,3.07998
2020-08-09,1.39095
2020-08-10,30.25335
2020-08-11,27.3224
2020-08-12,32.88623
2020-08-13,30.10432
2020-08-14,34.37655
2020-08-15,3.27868
2020-08-16,0.79483
2020-08-17,7.74962
2020-08-18,41.33134
2020-08-19,32.93591
2020-08-20,42.37456
2020-08-21,31.29657
2020-08-22,3.0303
2020-08-23,1.34128
2020-08-24,30.00496
2020-08-25,22.60307
2020-08-26,30.15399
2020-08-27,31.74366
2020-08-28,25.93144
2020-08-29,2.68256
2020-08-30,1.19225
2020-08-31,29.21013
2020-09-01,26.42821
2020-09-02,28.71336
2020-09-03,25.13661
2020-09-04,35.81718
2020-09-05,3.22901
2020-09-06,1.19225
2020-09-07,26.52757
2020-09-08,26.57724
2020-09-09,30.94883
2020-09-10,26.72627
2020-09-11,29.75658
2020-09-12,3.0303
2020-09-13,1.49031
2020-09-14,25.68306
2020-09-15,27.27272
2020-09-16,30.15399
2020-09-17,29.90561
2020-09-18,29.21013
2020-09-19,2.48385
2020-09-20,1.09289
2020-09-21,28.21659
2020-09-22,34.67461
2020-09-23,33.53204
2020-09-24,40.83457
2020-09-25,29.16045
2020-09-26,2.78191
2020-09-27,1.49031
2020-09-28,22.95081
2020-09-29,20.66567
2020-09-30,2.78191
2020-10-01,2.28514
2020-10-02,3.12965
2020-10-03,2.63288
2020-10-04,1.39095
2020-10-05,23.05017
2020-10-06,23.39791
2020-10-07,22.25534
2020-10-08,22.00695
2020-10-09,3.97416
2020-10-10,1.58966
2020-10-11,1.19225
2020-10-12,23.59662
2020-10-13,25.18628
2020-10-14,24.88822
2020-10-15,28.11723
2020-10-16,28.66368
2020-10-17,3.07998
2020-10-18,1.58966
2020-10-19,25.43467
2020-10-20,27.81917
2020-10-21,26.42821
2020-10-22,26.72627
2020-10-23,22.85146
2020-10-24,2.78191
2020-10-25,1.39095
2020-10-26,26.32886
2020-10-27,25.38499
2020-10-28,21.36115
2020-10-29,30.15399
2020-10-30,28.01788
2020-10-31,3.0303
2020-11-01,1.14257
2020-11-02,20.06954
2020-11-03,21.9076
2020-11-04,23.64629
2020-11-05,22.60307
2020-11-06,25.43467
2020-11-07,2.53353
2020-11-08,1.49031
2020-11-09,22.65275
2020-11-10,30.60109
2020-11-11,27.17337
2020-11-12,29.25981
2020-11-13,29.11077
2020-11-14,3.62642
2020-11-15,0.6458
2020-11-16,28.26626
2020-11-17,32.29011
2020-11-18,29.90561
2020-11-19,28.16691
2020-11-20,27.02434
2020-11-21,2.73224
2020-11-22,0.79483
2020-11-23,25.73273
2020-11-24,31.54495
2020-11-25,34.02881
2020-11-26,28.21659
2020-11-27,25.43467
2020-11-28,2.93094
2020-11-29,1.88772
2020-11-30,29.95529
2020-12-01,28.91207
2020-12-02,29.75658
2020-12-03,35.66815
2020-12-04,31.04818
2020-12-05,3.82513
2020-12-06,1.2916
2020-12-07,32.48882
2020-12-08,37.35717
2020-12-09,28.51465
2020-12-10,33.13462
2020-12-11,29.35916
2020-12-12,3.92449
2020-12-13,1.49031
2020-12-14,28.16691
