date,실비보험추천
2020-11-07,9.79955
2020-11-08,11.804
2020-11-09,21.60356
2020-11-10,32.5167
2020-11-11,30.95768
2020-11-12,27.61692
2020-11-13,22.49443
2020-11-14,8.24053
2020-11-15,10.69042
2020-11-16,18.2628
2020-11-17,20.48997
2020-11-18,31.40311
2020-11-19,21.60356
2020-11-20,20.26726
2020-11-21,10.4677
2020-11-22,9.79955
2020-11-23,26.0579
2020-11-24,22.49443
2020-11-25,22.04899
2020-11-26,22.49443
2020-11-27,23.3853
2020-11-28,9.79955
2020-11-29,12.69487
2020-11-30,22.27171
2020-12-01,26.28062
2020-12-02,26.94877
2020-12-03,25.38975
2020-12-04,22.27171
2020-12-05,11.35857
2020-12-06,11.13585
2020-12-07,21.38084
2020-12-08,28.06236
2020-12-09,33.18485
2020-12-10,35.1893
2020-12-11,24.94432
2020-12-12,8.46325
2020-12-13,16.25835
2020-12-14,32.07126
2020-12-15,31.40311
2020-12-16,32.5167
2020-12-17,27.83964
2020-12-18,27.3942
2020-12-19,11.58129
2020-12-20,11.804
2020-12-21,25.38975
2020-12-22,31.40311
2020-12-23,26.50334
2020-12-24,23.16258
2020-12-25,13.14031
2020-12-26,11.35857
2020-12-27,16.70378
2020-12-28,35.63474
2020-12-29,47.88418
2020-12-30,39.64365
2020-12-31,31.62583
2021-01-01,12.24944
2021-01-02,12.91759
2021-01-03,14.47661
2021-01-04,21.38084
2021-01-05,27.61692
2021-01-06,27.17149
2021-01-07,19.15367
2021-01-08,25.16703
2021-01-09,12.91759
2021-01-10,14.92204
2021-01-11,21.15812
2021-01-12,28.73051
2021-01-13,24.7216
2021-01-14,26.72605
2021-01-15,23.83073
2021-01-16,12.91759
2021-01-17,16.9265
2021-01-18,31.40311
2021-01-19,33.853
2021-01-20,33.18485
2021-01-21,31.40311
2021-01-22,29.84409
2021-01-23,15.36748
2021-01-24,16.03563
2021-01-25,26.28062
2021-01-26,34.52115
2021-01-27,30.51224
2021-01-28,24.27616
2021-01-29,28.06236
2021-01-30,13.58574
2021-01-31,10.4677
2021-02-01,21.82628
2021-02-02,30.06681
2021-02-03,28.95322
2021-02-04,25.16703
2021-02-05,22.04899
2021-02-06,9.79955
2021-02-07,13.80846
2021-02-08,24.7216
2021-02-09,20.04454
2021-02-10,21.60356
2021-02-11,7.12694
2021-02-12,9.35412
2021-02-13,8.90868
2021-02-14,10.4677
2021-02-15,30.51224
2021-02-16,27.83964
2021-02-17,25.83518
2021-02-18,33.40757
2021-02-19,24.49888
2021-02-20,13.80846
2021-02-21,20.71269
2021-02-22,30.06681
2021-02-23,31.40311
2021-02-24,22.04899
2021-02-25,28.06236
2021-02-26,24.49888
2021-02-27,16.03563
2021-02-28,15.14476
2021-03-01,16.48106
2021-03-02,28.73051
2021-03-03,22.71714
2021-03-04,27.83964
2021-03-05,20.71269
2021-03-06,10.91314
2021-03-07,14.69933
2021-03-08,20.71269
2021-03-09,27.83964
2021-03-10,22.93986
2021-03-11,34.96659
2021-03-12,24.7216
2021-03-13,14.03118
2021-03-14,14.47661
2021-03-15,24.94432
2021-03-16,26.50334
2021-03-17,25.16703
2021-03-18,25.83518
2021-03-19,24.27616
2021-03-20,12.91759
2021-03-21,18.70824
2021-03-22,30.95768
2021-03-23,29.62138
2021-03-24,25.38975
2021-03-25,23.83073
2021-03-26,22.27171
2021-03-27,12.02672
2021-03-28,16.48106
2021-03-29,29.17594
2021-03-30,28.95322
2021-03-31,28.95322
2021-04-01,18.2628
2021-04-02,17.81737
2021-04-03,7.7951
2021-04-04,13.36302
2021-04-05,19.82182
2021-04-06,20.48997
2021-04-07,16.03563
2021-04-08,18.04008
2021-04-09,22.04899
2021-04-10,13.36302
2021-04-11,9.57683
2021-04-12,22.27171
2021-04-13,20.48997
2021-04-14,22.27171
2021-04-15,14.92204
2021-04-16,16.70378
2021-04-17,9.79955
2021-04-18,6.23608
2021-04-19,18.48552
2021-04-20,29.84409
