date,TIGER200IT
2020-03-20,10.97777
2020-03-21,2.57777
2020-03-22,3.15555
2020-03-23,8.53333
2020-03-24,12.88888
2020-03-25,14.22222
2020-03-26,11.86666
2020-03-27,11.51111
2020-03-28,2.17777
2020-03-29,1.51111
2020-03-30,8.8
2020-03-31,8.0
2020-04-01,7.82222
2020-04-02,7.95555
2020-04-03,6.31111
2020-04-04,1.55555
2020-04-05,1.2
2020-04-06,7.02222
2020-04-07,9.24444
2020-04-08,7.64444
2020-04-09,7.51111
2020-04-10,7.82222
2020-04-11,1.28888
2020-04-12,1.64444
2020-04-13,5.73333
2020-04-14,6.84444
2020-04-15,1.82222
2020-04-16,6.4
2020-04-17,10.22222
2020-04-18,1.37777
2020-04-19,1.73333
2020-04-20,7.64444
2020-04-21,5.02222
2020-04-22,7.33333
2020-04-23,7.51111
2020-04-24,5.6
2020-04-25,1.46666
2020-04-26,1.64444
2020-04-27,7.37777
2020-04-28,6.62222
2020-04-29,5.6
2020-04-30,1.37777
2020-05-01,1.46666
2020-05-02,0.44444
2020-05-03,0.71111
2020-05-04,4.88888
2020-05-05,1.51111
2020-05-06,5.24444
2020-05-07,5.2
2020-05-08,5.91111
2020-05-09,1.51111
2020-05-10,1.15555
2020-05-11,6.4
2020-05-12,6.48888
2020-05-13,7.33333
2020-05-14,6.26666
2020-05-15,5.28888
2020-05-16,0.88888
2020-05-17,1.73333
2020-05-18,7.6
2020-05-19,7.68888
2020-05-20,10.31111
2020-05-21,9.06666
2020-05-22,7.15555
2020-05-23,1.42222
2020-05-24,1.2
2020-05-25,8.93333
2020-05-26,11.95555
2020-05-27,12.66666
2020-05-28,13.2
2020-05-29,10.44444
2020-05-30,1.28888
2020-05-31,0.97777
2020-06-01,12.35555
2020-06-02,13.51111
2020-06-03,18.71111
2020-06-04,13.37777
2020-06-05,14.35555
2020-06-06,1.82222
2020-06-07,1.2
2020-06-08,16.57777
2020-06-09,14.71111
2020-06-10,13.33333
2020-06-11,14.13333
2020-06-12,14.0
2020-06-13,1.73333
2020-06-14,1.42222
2020-06-15,13.33333
2020-06-16,17.06666
2020-06-17,11.68888
2020-06-18,11.77777
2020-06-19,10.84444
2020-06-20,0.97777
2020-06-21,1.46666
2020-06-22,11.15555
2020-06-23,8.26666
2020-06-24,11.24444
2020-06-25,9.37777
2020-06-26,9.64444
2020-06-27,0.88888
2020-06-28,0.48888
2020-06-29,8.17777
2020-06-30,9.68888
2020-07-01,8.62222
2020-07-02,11.28888
2020-07-03,9.82222
2020-07-04,1.02222
2020-07-05,0.84444
2020-07-06,14.31111
2020-07-07,12.26666
2020-07-08,10.75555
2020-07-09,12.31111
2020-07-10,9.37777
2020-07-11,1.11111
2020-07-12,0.88888
2020-07-13,12.17777
2020-07-14,9.73333
2020-07-15,12.66666
2020-07-16,9.64444
2020-07-17,11.42222
2020-07-18,1.42222
2020-07-19,0.88888
2020-07-20,7.82222
2020-07-21,11.64444
2020-07-22,8.31111
2020-07-23,8.48888
2020-07-24,8.48888
2020-07-25,1.15555
2020-07-26,0.35555
2020-07-27,9.28888
2020-07-28,13.73333
2020-07-29,14.4
2020-07-30,10.93333
2020-07-31,11.24444
2020-08-01,0.97777
2020-08-02,1.28888
2020-08-03,13.77777
2020-08-04,14.71111
2020-08-05,23.11111
2020-08-06,21.02222
2020-08-07,18.8
2020-08-08,2.57777
2020-08-09,2.4
2020-08-10,17.64444
2020-08-11,17.77777
2020-08-12,16.71111
2020-08-13,18.71111
2020-08-14,14.93333
2020-08-15,1.33333
2020-08-16,0.66666
2020-08-17,1.64444
2020-08-18,15.02222
2020-08-19,14.71111
2020-08-20,13.46666
2020-08-21,16.66666
2020-08-22,1.33333
2020-08-23,1.2
2020-08-24,14.13333
2020-08-25,15.46666
2020-08-26,17.19999
2020-08-27,18.22222
2020-08-28,14.75555
2020-08-29,1.33333
2020-08-30,1.28888
2020-08-31,15.91111
2020-09-01,13.51111
2020-09-02,13.95555
2020-09-03,16.93333
2020-09-04,12.62222
2020-09-05,0.97777
2020-09-06,0.88888
2020-09-07,12.35555
2020-09-08,16.93333
2020-09-09,13.86666
2020-09-10,15.02222
2020-09-11,13.64444
2020-09-12,1.42222
2020-09-13,0.88888
2020-09-14,12.84444
2020-09-15,14.93333
2020-09-16,14.57777
2020-09-17,12.13333
2020-09-18,12.0
2020-09-19,0.8
2020-09-20,1.28888
2020-09-21,10.53333
2020-09-22,11.37777
2020-09-23,14.48888
2020-09-24,11.28888
2020-09-25,10.0
2020-09-26,1.33333
2020-09-27,0.66666
2020-09-28,11.51111
2020-09-29,10.97777
2020-09-30,0.8
2020-10-01,0.62222
2020-10-02,0.71111
2020-10-03,0.8
2020-10-04,0.53333
2020-10-05,11.82222
2020-10-06,9.64444
2020-10-07,8.66666
2020-10-08,9.82222
2020-10-09,1.46666
2020-10-10,1.02222
2020-10-11,0.93333
2020-10-12,10.66666
2020-10-13,9.11111
2020-10-14,7.86666
2020-10-15,6.8
2020-10-16,6.66666
2020-10-17,0.66666
2020-10-18,0.57777
2020-10-19,7.46666
2020-10-20,7.37777
2020-10-21,8.0
2020-10-22,5.6
2020-10-23,7.02222
2020-10-24,0.66666
2020-10-25,0.53333
2020-10-26,7.51111
2020-10-27,7.24444
2020-10-28,6.13333
2020-10-29,4.75555
2020-10-30,7.24444
2020-10-31,0.88888
2020-11-01,0.57777
2020-11-02,7.06666
2020-11-03,8.57777
2020-11-04,8.26666
2020-11-05,11.28888
2020-11-06,10.71111
2020-11-07,0.88888
2020-11-08,0.57777
2020-11-09,11.15555
2020-11-10,11.02222
2020-11-11,14.13333
2020-11-12,10.66666
2020-11-13,10.04444
2020-11-14,1.37777
2020-11-15,0.66666
2020-11-16,11.86666
2020-11-17,11.73333
2020-11-18,11.6
2020-11-19,10.71111
2020-11-20,9.91111
2020-11-21,0.97777
2020-11-22,1.15555
2020-11-23,12.04444
2020-11-24,15.28888
2020-11-25,18.22222
2020-11-26,16.13333
2020-11-27,16.84444
2020-11-28,1.77777
2020-11-29,1.64444
2020-11-30,16.48888
2020-12-01,16.75555
2020-12-02,18.0
2020-12-03,19.02222
2020-12-04,22.13333
2020-12-05,2.8
2020-12-06,2.17777
2020-12-07,22.17777
2020-12-08,20.35555
2020-12-09,23.2
2020-12-10,28.39999
2020-12-11,26.88888
2020-12-12,3.24444
