date,나스닥100
2020-03-20,5.07982
2020-03-21,2.70117
2020-03-22,1.02402
2020-03-23,5.06369
2020-03-24,7.15207
2020-03-25,6.75697
2020-03-26,5.18464
2020-03-27,4.05579
2020-03-28,1.98355
2020-03-29,0.75794
2020-03-30,2.67698
2020-03-31,3.22528
2020-04-01,3.62038
2020-04-02,3.99129
2020-04-03,3.28172
2020-04-04,1.82228
2020-04-05,0.74181
2020-04-06,2.169
2020-04-07,3.39461
2020-04-08,3.24947
2020-04-09,3.39461
2020-04-10,3.18497
2020-04-11,1.19335
2020-04-12,0.64505
2020-04-13,1.91904
2020-04-14,3.79777
2020-04-15,2.96726
2020-04-16,3.2656
2020-04-17,3.91065
2020-04-18,2.5641
2020-04-19,0.99177
2020-04-20,2.28995
2020-04-21,3.08014
2020-04-22,3.78164
2020-04-23,3.06402
2020-04-24,2.88663
2020-04-25,1.79809
2020-04-26,0.95952
2020-04-27,2.31414
2020-04-28,3.04789
2020-04-29,2.94307
2020-04-30,2.75761
2020-05-01,3.13659
2020-05-02,1.68521
2020-05-03,0.72568
2020-05-04,1.95936
2020-05-05,2.75761
2020-05-06,2.98338
2020-05-07,2.99145
2020-05-08,3.10433
2020-05-09,2.27382
2020-05-10,0.81438
2020-05-11,2.31414
2020-05-12,3.89453
2020-05-13,3.31398
2020-05-14,3.16078
2020-05-15,2.6286
2020-05-16,2.00774
2020-05-17,0.89501
2020-05-18,1.98355
2020-05-19,3.06402
2020-05-20,2.79793
2020-05-21,2.95113
2020-05-22,3.20915
2020-05-23,2.12868
2020-05-24,0.70956
2020-05-25,1.78197
2020-05-26,2.80599
2020-05-27,3.78164
2020-05-28,3.18497
2020-05-29,2.84631
2020-05-30,1.96742
2020-05-31,0.78213
2020-06-01,2.05611
2020-06-02,2.91082
2020-06-03,3.09627
2020-06-04,3.24141
2020-06-05,3.03983
2020-06-06,2.20125
2020-06-07,0.6128
2020-06-08,1.78197
2020-06-09,3.27366
2020-06-10,3.89453
2020-06-11,4.00741
2020-06-12,3.49137
2020-06-13,2.17706
2020-06-14,0.766
2020-06-15,2.98338
2020-06-16,3.99935
2020-06-17,3.64457
2020-06-18,3.16884
2020-06-19,2.88663
2020-06-20,2.03193
2020-06-21,0.79019
2020-06-22,2.19319
2020-06-23,3.82196
2020-06-24,3.53975
2020-06-25,4.04773
2020-06-26,2.93501
2020-06-27,2.169
2020-06-28,0.74181
2020-06-29,2.7818
2020-06-30,3.12852
2020-07-01,3.18497
2020-07-02,3.52362
2020-07-03,2.97532
2020-07-04,1.40299
2020-07-05,0.70956
2020-07-06,2.12062
2020-07-07,3.53168
2020-07-08,3.2656
2020-07-09,3.44299
2020-07-10,3.78971
2020-07-11,2.53991
2020-07-12,1.03209
2020-07-13,2.61248
2020-07-14,5.22496
2020-07-15,4.68472
2020-07-16,4.16868
2020-07-17,3.35429
2020-07-18,2.11256
2020-07-19,0.83051
2020-07-20,2.28995
2020-07-21,4.52346
2020-07-22,3.88646
2020-07-23,3.74939
2020-07-24,3.99935
2020-07-25,2.48347
2020-07-26,1.09659
2020-07-27,2.64473
2020-07-28,3.41074
2020-07-29,3.73326
2020-07-30,3.33817
2020-07-31,4.30575
2020-08-01,2.52378
2020-08-02,0.82244
2020-08-03,2.3222
2020-08-04,3.44299
2020-08-05,3.70907
2020-08-06,3.60425
2020-08-07,4.64441
2020-08-08,2.85437
2020-08-09,1.29011
2020-08-10,2.74149
2020-08-11,4.49927
2020-08-12,4.14449
2020-08-13,4.21706
2020-08-14,3.36236
2020-08-15,2.33833
2020-08-16,0.86276
2020-08-17,1.99967
2020-08-18,3.59619
2020-08-19,3.7252
2020-08-20,4.58796
2020-08-21,4.58796
2020-08-22,2.85437
2020-08-23,1.08853
2020-08-24,3.28172
2020-08-25,4.84599
2020-08-26,5.83776
2020-08-27,6.1361
2020-08-28,5.20883
2020-08-29,3.31398
2020-08-30,1.10466
2020-08-31,3.37848
2020-09-01,6.32156
2020-09-02,7.40203
2020-09-03,8.14384
2020-09-04,12.11901
2020-09-05,6.2893
2020-09-06,1.71746
2020-09-07,3.94291
2020-09-08,8.2406
2020-09-09,11.02241
2020-09-10,7.781
2020-09-11,6.94242
2020-09-12,4.60409
2020-09-13,1.47556
2020-09-14,4.1203
2020-09-15,5.86195
2020-09-16,5.41848
2020-09-17,8.0874
2020-09-18,7.10369
2020-09-19,4.98306
2020-09-20,1.24979
2020-09-21,4.78148
2020-09-22,8.7889
2020-09-23,6.57958
2020-09-24,8.59538
2020-09-25,7.32946
2020-09-26,3.8784
2020-09-27,1.10466
2020-09-28,3.91872
2020-09-29,6.14417
2020-09-30,4.70085
2020-10-01,5.54749
2020-10-02,14.73149
2020-10-03,5.79745
2020-10-04,1.94323
2020-10-05,3.70907
2020-10-06,5.61199
2020-10-07,5.1282
2020-10-08,4.52346
2020-10-09,3.95097
2020-10-10,3.28172
2020-10-11,1.09659
2020-10-12,3.73326
2020-10-13,7.88582
2020-10-14,6.41025
2020-10-15,6.94242
2020-10-16,5.03144
2020-10-17,3.35429
2020-10-18,1.20948
2020-10-19,3.23334
2020-10-20,5.49911
2020-10-21,5.81357
