date,와디즈펀딩
2020-03-20,61.30622
2020-03-21,74.36845
2020-03-22,55.66851
2020-03-23,56.37707
2020-03-24,57.17806
2020-03-25,56.28465
2020-03-26,57.67097
2020-03-27,45.44054
2020-03-28,44.63955
2020-03-29,47.99753
2020-03-30,52.21811
2020-03-31,53.20394
2020-04-01,50.21565
2020-04-02,49.90757
2020-04-03,45.40973
2020-04-04,39.37153
2020-04-05,42.2674
2020-04-06,80.68391
2020-04-07,100.0
2020-04-08,90.08009
2020-04-09,77.38755
2020-04-10,67.96056
2020-04-11,59.76586
2020-04-12,62.41528
2020-04-13,66.17375
2020-04-14,70.05545
2020-04-15,57.54775
2020-04-16,60.8133
2020-04-17,61.70671
2020-04-18,51.44793
2020-04-19,57.97905
2020-04-20,66.8515
2020-04-21,71.34935
2020-04-22,70.76401
2020-04-23,66.88231
2020-04-24,56.13062
2020-04-25,43.74614
2020-04-26,46.17991
2020-04-27,52.86506
2020-04-28,61.15218
2020-04-29,50.15403
2020-04-30,45.99507
2020-05-01,40.91189
2020-05-02,36.47566
2020-05-03,42.08256
2020-05-04,56.31546
2020-05-05,51.17067
2020-05-06,50.61614
2020-05-07,44.94762
2020-05-08,44.48552
2020-05-09,38.87861
2020-05-10,38.17005
2020-05-11,48.02834
2020-05-12,45.81022
2020-05-13,49.26062
2020-05-14,47.10412
2020-05-15,43.03758
2020-05-16,37.12261
2020-05-17,40.9735
2020-05-18,50.80098
2020-05-19,49.66112
2020-05-20,52.27972
2020-05-21,52.64941
2020-05-22,42.23659
2020-05-23,37.64633
2020-05-24,38.87861
2020-05-25,47.84349
2020-05-26,47.99753
2020-05-27,55.29882
2020-05-28,45.62538
2020-05-29,42.29821
2020-05-30,34.65804
2020-05-31,35.7979
2020-06-01,46.88847
2020-06-02,55.6377
2020-06-03,48.12076
2020-06-04,44.8552
2020-06-05,41.06592
2020-06-06,33.48736
2020-06-07,35.82871
2020-06-08,41.37399
2020-06-09,43.77695
2020-06-10,46.61121
2020-06-11,46.27233
2020-06-12,40.63462
2020-06-13,39.58718
2020-06-14,41.62045
2020-06-15,50.67775
2020-06-16,51.44793
2020-06-17,44.20825
2020-06-18,46.1491
2020-06-19,40.32655
2020-06-20,34.504
2020-06-21,38.35489
2020-06-22,45.50215
2020-06-23,45.93345
2020-06-24,52.1565
2020-06-25,48.55206
2020-06-26,44.30067
2020-06-27,31.76216
2020-06-28,37.15341
2020-06-29,43.77695
2020-06-30,44.91682
2020-07-01,41.74368
2020-07-02,40.35736
2020-07-03,39.64879
2020-07-04,30.12939
2020-07-05,36.6605
2020-07-06,42.72951
2020-07-07,44.79359
2020-07-08,42.57547
2020-07-09,41.43561
2020-07-10,38.72458
2020-07-11,34.504
2020-07-12,35.02772
2020-07-13,42.66789
2020-07-14,44.48552
2020-07-15,42.54467
2020-07-16,40.72704
2020-07-17,35.89032
2020-07-18,30.49907
2020-07-19,32.37831
2020-07-20,45.81022
2020-07-21,46.82686
2020-07-22,44.26987
2020-07-23,45.19408
2020-07-24,43.09919
2020-07-25,31.73136
2020-07-26,36.90696
2020-07-27,45.25569
2020-07-28,44.91682
2020-07-29,45.47134
2020-07-30,45.53296
2020-07-31,38.10844
2020-08-01,33.39494
2020-08-02,33.85705
2020-08-03,42.08256
2020-08-04,45.13247
2020-08-05,42.60628
2020-08-06,42.51386
2020-08-07,40.08009
2020-08-08,30.83795
2020-08-09,31.88539
2020-08-10,41.06592
2020-08-11,40.69624
2020-08-12,41.09673
2020-08-13,39.34072
2020-08-14,37.36906
2020-08-15,31.76216
2020-08-16,28.92791
2020-08-17,32.71719
2020-08-18,38.97104
2020-08-19,38.26247
2020-08-20,38.60135
2020-08-21,42.14417
2020-08-22,32.65557
2020-08-23,31.11521
2020-08-24,42.94516
2020-08-25,42.08256
2020-08-26,48.67529
2020-08-27,42.6987
2020-08-28,41.74368
2020-08-29,30.65311
2020-08-30,32.7788
2020-08-31,43.13
2020-09-01,48.15157
2020-09-02,50.18484
2020-09-03,49.5995
2020-09-04,45.47134
2020-09-05,36.56808
2020-09-06,39.2483
2020-09-07,52.21811
2020-09-08,48.33641
2020-09-09,48.64448
2020-09-10,50.70856
2020-09-11,46.36475
2020-09-12,39.52556
2020-09-13,36.38324
2020-09-14,51.63277
2020-09-15,58.71842
2020-09-16,59.11891
2020-09-17,49.32224
2020-09-18,40.72704
2020-09-19,39.21749
2020-09-20,39.71041
2020-09-21,45.00924
2020-09-22,43.71534
2020-09-23,42.42144
2020-09-24,43.83857
2020-09-25,40.29574
2020-09-26,34.34996
2020-09-27,35.05853
2020-09-28,45.90264
2020-09-29,42.54467
2020-09-30,30.22181
2020-10-01,27.66481
2020-10-02,27.57239
2020-10-03,34.13431
2020-10-04,39.40234
2020-10-05,46.48798
2020-10-06,48.18237
2020-10-07,48.89094
2020-10-08,41.12754
2020-10-09,36.96857
2020-10-10,32.22427
2020-10-11,34.90449
2020-10-12,44.82439
2020-10-13,45.77942
2020-10-14,45.96426
2020-10-15,40.17252
2020-10-16,40.35736
2020-10-17,39.58718
2020-10-18,45.50215
2020-10-19,49.38385
2020-10-20,50.4621
2020-10-21,46.95009
2020-10-22,46.08749
2020-10-23,38.23166
2020-10-24,31.02279
2020-10-25,32.65557
2020-10-26,45.13247
2020-10-27,46.76524
2020-10-28,44.79359
2020-10-29,43.71534
2020-10-30,39.09426
2020-10-31,30.49907
2020-11-01,34.22674
2020-11-02,41.8361
2020-11-03,46.67282
2020-11-04,44.14664
