date,레고켐바이오주가
2020-03-20,1.04269
2020-03-21,0.04367
2020-03-22,0.02729
2020-03-23,0.85708
2020-03-24,1.05906
2020-03-25,1.31564
2020-03-26,1.29926
2020-03-27,0.96626
2020-03-28,0.09826
2020-03-29,0.10918
2020-03-30,1.19554
2020-03-31,1.16279
2020-04-01,1.00447
2020-04-02,0.92804
2020-04-03,0.85162
2020-04-04,0.0655
2020-04-05,0.04367
2020-04-06,1.00447
2020-04-07,0.86799
2020-04-08,0.86253
2020-04-09,0.74789
2020-04-10,1.3211
2020-04-11,0.10918
2020-04-12,0.07642
2020-04-13,1.06998
2020-04-14,1.38115
2020-04-15,0.39851
2020-04-16,1.86155
2020-04-17,1.43574
2020-04-18,0.13647
2020-04-19,0.0655
2020-04-20,1.37023
2020-04-21,1.80696
2020-04-22,1.24467
2020-04-23,1.10274
2020-04-24,0.91713
2020-04-25,0.08188
2020-04-26,0.08188
2020-04-27,1.11911
2020-04-28,1.3211
2020-04-29,0.91167
2020-04-30,0.0928
2020-05-01,0.13101
2020-05-02,0.0655
2020-05-03,0.08734
2020-05-04,0.93896
2020-05-05,0.13101
2020-05-06,1.38115
2020-05-07,1.65411
2020-05-08,1.0536
2020-05-09,0.07642
2020-05-10,0.10918
2020-05-11,1.19554
2020-05-12,1.16279
2020-05-13,1.05906
2020-05-14,1.4685
2020-05-15,1.86701
2020-05-16,0.16377
2020-05-17,0.13101
2020-05-18,1.09182
2020-05-19,1.43574
2020-05-20,1.49579
2020-05-21,1.13549
2020-05-22,1.03723
2020-05-23,0.1201
2020-05-24,0.09826
2020-05-25,1.12457
2020-05-26,1.19554
2020-05-27,0.86253
2020-05-28,1.17916
2020-05-29,0.94442
2020-05-30,0.14193
2020-05-31,0.04367
2020-06-01,2.88786
2020-06-02,4.57473
2020-06-03,3.35735
2020-06-04,3.46107
2020-06-05,3.6849
2020-06-06,0.76427
2020-06-07,1.38115
2020-06-08,6.24522
2020-06-09,10.85271
2020-06-10,20.00218
2020-06-11,17.26716
2020-06-12,11.79713
2020-06-13,2.36925
2020-06-14,2.25461
2020-06-15,12.76886
2020-06-16,13.6041
2020-06-17,12.8562
2020-06-18,11.48051
2020-06-19,11.20755
2020-06-20,1.38115
2020-06-21,1.40845
2020-06-22,11.1202
2020-06-23,9.49885
2020-06-24,7.61
2020-06-25,7.5554
2020-06-26,7.5827
2020-06-27,1.05906
2020-06-28,1.40845
2020-06-29,12.08101
2020-06-30,9.46063
2020-07-01,7.97576
2020-07-02,7.52811
2020-07-03,7.56086
2020-07-04,1.10819
2020-07-05,1.18462
2020-07-06,9.27503
2020-07-07,10.11573
2020-07-08,11.79713
2020-07-09,8.53805
2020-07-10,7.45168
2020-07-11,1.10819
2020-07-12,1.03177
2020-07-13,9.84823
2020-07-14,9.1986
2020-07-15,9.02391
2020-07-16,8.67452
2020-07-17,13.78971
2020-07-18,1.7087
2020-07-19,1.35931
2020-07-20,15.91876
2020-07-21,24.59875
2020-07-22,20.83742
2020-07-23,22.18582
2020-07-24,21.65083
2020-07-25,2.46205
2020-07-26,1.77967
2020-07-27,17.58925
2020-07-28,24.16748
2020-07-29,19.15056
2020-07-30,18.71929
2020-07-31,17.73119
2020-08-01,2.11267
2020-08-02,2.17818
2020-08-03,14.7123
2020-08-04,14.78327
2020-08-05,15.59668
2020-08-06,13.69691
2020-08-07,12.52866
2020-08-08,1.8288
2020-08-09,1.43028
2020-08-10,12.81799
2020-08-11,12.61054
2020-08-12,11.15842
2020-08-13,12.21749
2020-08-14,10.39414
2020-08-15,1.09182
2020-08-16,0.87891
2020-08-17,1.60497
