date,코인종류
2020-03-20,1.37382
2020-03-21,0.93998
2020-03-22,0.79537
2020-03-23,1.73535
2020-03-24,1.08459
2020-03-25,1.59074
2020-03-26,1.37382
2020-03-27,0.57845
2020-03-28,0.86767
2020-03-29,0.72306
2020-03-30,1.30151
2020-03-31,0.79537
2020-04-01,1.01229
2020-04-02,0.50614
2020-04-03,0.43383
2020-04-04,0.50614
2020-04-05,0.43383
2020-04-06,0.93998
2020-04-07,1.1569
2020-04-08,0.36153
2020-04-09,1.22921
2020-04-10,0.65075
2020-04-11,0.43383
2020-04-12,0.43383
2020-04-13,0.43383
2020-04-15,0.86767
2020-04-16,0.86767
2020-04-17,0.57845
2020-04-18,0.65075
2020-04-19,0.65075
2020-04-20,0.65075
2020-04-21,0.57845
2020-04-22,1.22921
2020-04-23,0.65075
2020-04-24,1.08459
2020-04-25,0.57845
2020-04-26,0.79537
2020-04-27,1.08459
2020-04-28,0.50614
2020-04-29,0.86767
2020-04-30,1.30151
2020-05-01,0.72306
2020-05-02,1.08459
2020-05-03,0.43383
2020-05-04,0.93998
2020-05-05,0.43383
2020-05-06,1.01229
2020-05-07,0.72306
2020-05-08,0.93998
2020-05-09,0.36153
2020-05-11,0.50614
2020-05-12,0.36153
2020-05-13,0.43383
2020-05-14,1.1569
2020-05-15,0.36153
2020-05-16,0.65075
2020-05-17,0.86767
2020-05-18,0.72306
2020-05-19,0.57845
2020-05-20,0.86767
2020-05-21,0.43383
2020-05-22,0.36153
2020-05-23,0.57845
2020-05-24,0.43383
2020-05-26,0.43383
2020-05-27,0.79537
2020-05-29,0.50614
2020-06-01,0.72306
2020-06-02,1.01229
2020-06-03,0.72306
2020-06-04,1.08459
2020-06-05,0.86767
2020-06-06,0.72306
2020-06-07,0.65075
2020-06-08,0.36153
2020-06-09,0.57845
2020-06-10,0.86767
2020-06-11,0.36153
2020-06-12,0.36153
2020-06-13,0.43383
2020-06-15,0.43383
2020-06-16,0.93998
2020-06-17,1.22921
2020-06-18,0.65075
2020-06-19,0.36153
2020-06-20,0.50614
2020-06-22,0.36153
2020-06-23,0.79537
2020-06-24,0.43383
2020-06-26,0.43383
2020-06-28,0.36153
2020-06-29,0.43383
2020-06-30,0.72306
2020-07-01,0.36153
2020-07-02,0.43383
2020-07-03,0.50614
2020-07-04,0.57845
2020-07-05,0.86767
2020-07-06,0.72306
2020-07-07,0.36153
2020-07-08,0.86767
2020-07-09,0.50614
2020-07-10,0.79537
2020-07-11,0.50614
2020-07-12,0.65075
2020-07-13,0.72306
2020-07-14,0.79537
2020-07-15,1.01229
2020-07-16,1.1569
2020-07-17,0.57845
2020-07-18,0.36153
2020-07-20,0.72306
2020-07-21,0.86767
2020-07-22,0.79537
2020-07-23,1.30151
2020-07-24,0.36153
2020-07-25,0.57845
2020-07-26,0.72306
2020-07-27,0.50614
2020-07-28,1.1569
