date,인도ETF
2020-03-20,2.2187
2020-03-21,2.93185
2020-03-22,1.58478
2020-03-23,3.09033
2020-03-24,3.88272
2020-03-25,5.78446
2020-03-26,5.54675
2020-03-27,5.54675
2020-03-28,6.89381
2020-03-29,4.0412
2020-03-30,4.4374
2020-03-31,3.56576
2020-04-01,3.80348
2020-04-02,2.93185
2020-04-03,3.24881
2020-04-04,4.27892
2020-04-05,2.85261
2020-04-06,2.93185
2020-04-07,7.36925
2020-04-08,4.59587
2020-04-09,4.83359
2020-04-10,5.22979
2020-04-11,4.83359
2020-04-12,5.62599
2020-04-13,5.15055
2020-04-14,4.4374
2020-04-15,5.15055
2020-04-16,4.99207
2020-04-17,4.35816
2020-04-18,4.99207
2020-04-19,6.33914
2020-04-20,4.12044
2020-04-21,4.19968
2020-04-22,3.72424
2020-04-23,4.59587
2020-04-24,4.27892
2020-04-25,3.645
2020-04-26,3.72424
2020-04-27,3.16957
2020-04-28,3.40729
2020-04-29,4.27892
2020-04-30,3.32805
2020-05-01,2.2187
2020-05-02,1.98098
2020-05-03,2.85261
2020-05-04,2.37717
2020-05-05,2.37717
2020-05-06,2.77337
2020-05-07,4.51664
2020-05-08,3.56576
2020-05-09,3.48652
2020-05-10,4.19968
2020-05-11,5.30903
2020-05-12,4.19968
2020-05-13,3.96196
2020-05-14,2.61489
2020-05-15,2.45641
2020-05-16,8.8748
2020-05-17,6.2599
2020-05-18,7.92393
2020-05-19,8.8748
2020-05-20,6.6561
2020-05-21,8.32012
2020-05-22,5.07131
2020-05-23,3.96196
2020-05-24,5.62599
2020-05-25,5.62599
2020-05-26,6.2599
2020-05-27,6.33914
2020-05-28,4.67511
2020-05-29,4.27892
2020-05-30,3.40729
2020-05-31,6.49762
2020-06-01,5.30903
2020-06-02,6.33914
2020-06-03,6.97305
2020-06-04,6.41838
2020-06-05,7.13153
2020-06-06,5.46751
2020-06-07,5.22979
2020-06-08,5.8637
2020-06-09,5.62599
2020-06-10,6.02218
2020-06-11,5.62599
2020-06-12,3.96196
2020-06-13,2.2187
2020-06-14,1.98098
2020-06-15,2.61489
2020-06-16,3.01109
2020-06-17,2.85261
2020-06-18,2.45641
2020-06-19,2.69413
2020-06-20,2.29793
2020-06-21,3.40729
2020-06-22,2.29793
2020-06-23,3.01109
2020-06-24,4.19968
2020-06-25,3.32805
2020-06-26,2.06022
2020-06-27,1.10935
2020-06-28,3.96196
2020-06-29,1.98098
2020-06-30,2.85261
2020-07-01,3.01109
2020-07-02,2.37717
2020-07-03,2.85261
2020-07-04,2.45641
2020-07-05,3.40729
2020-07-06,4.67511
2020-07-07,3.80348
2020-07-08,4.4374
2020-07-09,5.38827
2020-07-10,2.13946
2020-07-11,2.61489
2020-07-12,1.98098
2020-07-13,3.80348
2020-07-14,5.70522
2020-07-15,6.33914
2020-07-16,7.05229
2020-07-17,3.16957
2020-07-18,3.72424
2020-07-19,3.80348
2020-07-20,6.73534
2020-07-21,7.44849
2020-07-22,4.59587
2020-07-23,4.35816
2020-07-24,4.67511
2020-07-25,3.96196
2020-07-26,4.0412
2020-07-27,3.96196
2020-07-28,5.07131
2020-07-29,3.88272
2020-07-30,4.99207
2020-07-31,6.97305
2020-08-01,2.61489
2020-08-02,3.40729
2020-08-03,4.27892
2020-08-04,5.38827
2020-08-05,4.35816
2020-08-06,3.32805
2020-08-07,4.83359
2020-08-08,2.93185
2020-08-09,3.645
2020-08-10,3.32805
2020-08-11,3.88272
2020-08-12,3.01109
2020-08-13,5.38827
2020-08-14,2.45641
2020-08-15,2.53565
2020-08-16,8.00316
2020-08-17,7.29001
2020-08-18,6.41838
2020-08-19,5.62599
2020-08-20,5.15055
2020-08-21,4.59587
2020-08-22,2.53565
2020-08-23,3.24881
2020-08-24,3.88272
2020-08-25,5.30903
2020-08-26,2.85261
2020-08-27,4.91283
2020-08-28,4.35816
2020-08-29,4.51664
2020-08-30,3.48652
2020-08-31,4.27892
2020-09-01,3.32805
2020-09-02,4.35816
2020-09-03,4.12044
2020-09-04,2.13946
2020-09-05,2.85261
2020-09-06,4.27892
2020-09-07,5.62599
2020-09-08,5.15055
2020-09-09,2.69413
2020-09-10,4.67511
2020-09-11,3.01109
2020-09-12,3.32805
2020-09-13,1.98098
2020-09-14,2.29793
2020-09-15,2.2187
2020-09-16,2.77337
2020-09-17,2.2187
2020-09-18,2.45641
2020-09-19,1.74326
2020-09-20,1.58478
2020-09-21,2.29793
2020-09-22,1.50554
2020-09-23,2.06022
2020-09-24,2.37717
2020-09-25,1.8225
2020-09-26,1.4263
2020-09-27,0.47543
2020-09-28,2.61489
2020-09-29,1.58478
2020-09-30,1.03011
2020-10-01,1.8225
2020-10-02,2.77337
2020-10-03,2.37717
2020-10-04,1.58478
2020-10-05,2.2187
2020-10-06,2.77337
2020-10-07,2.2187
2020-10-08,1.90174
2020-10-09,1.34706
2020-10-10,2.29793
2020-10-11,14.50079
2020-10-12,9.11251
2020-10-13,19.25515
2020-10-14,22.5832
2020-10-15,8.39936
2020-10-16,7.60697
2020-10-17,5.46751
2020-10-18,4.91283
2020-10-19,7.13153
2020-10-20,4.4374
2020-10-21,4.67511
2020-10-22,3.80348
2020-10-23,3.16957
2020-10-24,3.48652
2020-10-25,2.93185
2020-10-26,3.96196
2020-10-27,4.12044
2020-10-28,3.48652
2020-10-29,1.90174
2020-10-30,1.4263
2020-10-31,1.50554
2020-11-01,2.29793
2020-11-02,2.61489
2020-11-03,5.07131
2020-11-04,4.67511
2020-11-05,3.01109
2020-11-06,3.01109
2020-11-07,2.37717
2020-11-08,3.32805
2020-11-09,4.67511
2020-11-10,3.09033
2020-11-11,3.40729
2020-11-12,2.85261
2020-11-13,3.01109
2020-11-14,2.77337
2020-11-15,4.51664
2020-11-16,4.19968
