date,장외주식
2020-03-20,36.73139
2020-03-21,16.77454
2020-03-22,15.64185
2020-03-23,38.29557
2020-03-24,33.54908
2020-03-25,39.0507
2020-03-26,42.71844
2020-03-27,44.92988
2020-03-28,23.94822
2020-03-29,23.57065
2020-03-30,37.43257
2020-03-31,40.83063
2020-04-01,39.9137
2020-04-02,29.93527
2020-04-03,29.66558
2020-04-04,17.20604
2020-04-05,17.90722
2020-04-06,28.15533
2020-04-07,31.71521
2020-04-08,29.71952
2020-04-09,31.66127
2020-04-10,28.15533
2020-04-11,18.77022
2020-04-12,16.2891
2020-04-13,32.36245
2020-04-14,33.65695
2020-04-15,21.35922
2020-04-16,25.78209
2020-04-17,35.00539
2020-04-18,21.30528
2020-04-19,21.79072
2020-04-20,37.3247
2020-04-21,35.65264
2020-04-22,42.233
2020-04-23,38.29557
2020-04-24,29.34196
2020-04-25,17.36785
2020-04-26,16.39697
2020-04-27,31.22977
2020-04-28,29.71952
2020-04-29,28.1014
2020-04-30,15.69579
2020-05-01,14.29341
2020-05-02,9.43905
2020-05-03,10.24811
2020-05-04,18.33872
2020-05-05,14.88673
2020-05-06,23.51672
2020-05-07,24.97303
2020-05-08,28.80258
2020-05-09,15.80366
2020-05-10,12.8371
2020-05-11,27.34627
2020-05-12,29.61165
2020-05-13,32.03883
2020-05-14,34.35814
2020-05-15,27.02265
2020-05-16,13.48435
2020-05-17,14.50916
2020-05-18,29.12621
2020-05-19,30.79827
2020-05-20,39.0507
2020-05-21,40.66882
2020-05-22,27.61596
2020-05-23,14.5631
2020-05-24,15.69579
2020-05-25,31.49946
2020-05-26,37.43257
2020-05-27,34.68176
2020-05-28,37.00107
2020-05-29,30.31283
2020-05-30,14.1316
2020-05-31,15.91154
2020-06-01,25.78209
2020-06-02,31.55339
2020-06-03,31.98489
2020-06-04,27.18446
2020-06-05,30.20496
2020-06-06,18.23085
2020-06-07,16.12729
2020-06-08,28.85652
2020-06-09,32.5782
2020-06-10,32.74002
2020-06-11,34.19633
2020-06-12,30.74433
2020-06-13,16.2891
2020-06-14,13.21467
2020-06-15,27.88565
2020-06-16,44.44444
2020-06-17,33.11758
