date,데이마켓
2023-06-21,14.69979
2023-06-22,12.00828
2023-06-23,14.90683
2023-06-24,1.03519
2023-06-26,15.94202
2023-06-27,16.56314
2023-06-28,15.73498
2023-06-29,17.80538
2023-06-30,13.87163
2023-07-01,2.07039
2023-07-03,71.84265
2023-07-04,2.07039
2023-07-05,26.91511
2023-07-06,19.25465
2023-07-07,13.25051
2023-07-09,1.03519
2023-07-10,18.4265
2023-07-11,16.14906
2023-07-12,21.73913
2023-07-13,23.1884
2023-07-14,28.15734
2023-07-15,2.27743
2023-07-17,20.91097
2023-07-18,18.63354
2023-07-19,20.28985
2023-07-20,22.36024
2023-07-21,23.60248
2023-07-22,5.17598
2023-07-23,3.7267
2023-07-24,22.77432
2023-07-25,16.97722
2023-07-26,16.3561
2023-07-27,16.14906
2023-07-28,20.49689
2023-07-29,1.24223
2023-07-31,29.19254
2023-08-01,17.59834
2023-08-02,23.60248
2023-08-03,11.80124
2023-08-04,18.84057
2023-08-05,1.44927
2023-08-07,27.12215
2023-08-08,15.11387
2023-08-09,12.62939
2023-08-10,14.90683
2023-08-11,16.3561
2023-08-12,1.86335
2023-08-13,1.44927
2023-08-14,39.95859
2023-08-15,23.39544
2023-08-16,15.73498
2023-08-17,11.18012
2023-08-18,10.14492
2023-08-19,1.24223
2023-08-21,12.00828
2023-08-22,13.25051
2023-08-23,9.31677
2023-08-24,24.63768
2023-08-25,10.35196
2023-08-26,2.07039
2023-08-28,14.28571
2023-08-29,11.18012
2023-08-30,15.52795
2023-08-31,12.00828
2023-09-01,15.52795
2023-09-02,1.03519
2023-09-04,1.65631
2023-09-05,10.76604
2023-09-06,9.73084
2023-09-07,8.90269
2023-09-08,12.62939
2023-09-09,2.48447
2023-09-10,1.86335
2023-09-11,13.66459
2023-09-12,12.00828
2023-09-13,10.559
2023-09-14,9.73084
2023-09-15,20.91097
2023-09-16,1.03519
2023-09-17,1.65631
2023-09-18,13.45755
2023-09-19,16.14906
2023-09-20,10.97308
2023-09-21,8.07453
2023-09-22,6.83229
2023-09-23,1.65631
2023-09-25,9.31677
2023-09-26,9.31677
2023-09-27,8.90269
2023-09-28,10.76604
2023-09-29,10.76604
2023-09-30,1.24223
2023-10-01,1.44927
2023-10-02,9.5238
2023-10-03,6.21118
2023-10-04,5.38302
2023-10-05,7.03933
2023-10-06,6.83229
2023-10-07,1.65631
2023-10-09,9.31677
2023-10-10,5.7971
2023-10-11,7.66045
2023-10-12,21.11801
2023-10-13,9.31677
2023-10-14,1.44927
2023-10-15,1.44927
2023-10-16,10.559
2023-10-17,7.03933
2023-10-18,9.73084
2023-10-19,12.42236
2023-10-20,8.48861
2023-10-21,1.24223
2023-10-23,8.07453
2023-10-24,11.38716
2023-10-25,10.35196
2023-10-26,10.559
2023-10-27,9.31677
2023-10-28,1.65631
2023-10-30,6.62525
2023-10-31,6.41821
2023-11-01,6.83229
2023-11-02,7.86749
2023-11-03,12.42236
2023-11-04,1.24223
2023-11-06,19.25465
2023-11-07,7.45341
2023-11-08,8.07453
2023-11-09,9.10973
2023-11-10,11.80124
2023-11-11,1.03519
2023-11-13,6.21118
2023-11-14,10.559
2023-11-15,12.42236
2023-11-16,8.48861
2023-11-17,9.10973
2023-11-18,1.03519
2023-11-20,13.25051
2023-11-21,11.38716
2023-11-22,12.00828
2023-11-23,5.59006
2023-11-24,11.18012
2023-11-25,1.86335
2023-11-26,1.86335
2023-11-27,11.38716
2023-11-28,11.80124
2023-11-29,10.76604
2023-11-30,9.73084
2023-12-01,10.559
2023-12-02,2.69151
2023-12-03,1.65631
2023-12-04,14.07867
2023-12-05,11.5942
2023-12-06,10.35196
2023-12-07,14.69979
2023-12-08,12.00828
2023-12-09,1.44927
2023-12-11,10.76604
2023-12-12,8.90269
2023-12-13,13.66459
2023-12-14,17.80538
2023-12-15,15.94202
2023-12-16,2.07039
2023-12-18,12.62939
2023-12-19,6.83229
2023-12-20,9.10973
2023-12-21,14.28571
2023-12-22,13.45755
2023-12-23,1.65631
2023-12-26,12.42236
2023-12-27,13.66459
2023-12-28,8.69565
2023-12-29,12.62939
2023-12-30,1.03519
2024-01-01,1.24223
2024-01-02,11.38716
2024-01-03,10.76604
2024-01-04,11.38716
2024-01-05,8.28157
2024-01-08,7.66045
2024-01-09,11.80124
2024-01-10,12.62939
2024-01-11,9.10973
2024-01-12,10.559
2024-01-13,1.65631
2024-01-15,1.65631
2024-01-16,15.32091
2024-01-17,15.11387
2024-01-18,10.35196
2024-01-19,11.18012
2024-01-20,1.44927
2024-01-21,1.86335
2024-01-22,23.60248
2024-01-23,14.07867
2024-01-24,17.18426
2024-01-25,22.1532
2024-01-26,29.81366
2024-01-27,2.27743
2024-01-28,1.24223
2024-01-29,19.46169
2024-01-30,21.11801
2024-01-31,13.87163
2024-02-01,12.83643
2024-02-02,16.3561
2024-02-03,1.44927
2024-02-05,16.77018
2024-02-06,19.25465
2024-02-07,12.42236
2024-02-08,21.53209
2024-02-09,19.04761
2024-02-10,3.31262
2024-02-11,1.24223
2024-02-12,52.17391
2024-02-13,37.68115
2024-02-14,26.08695
2024-02-15,35.8178
2024-02-16,30.43478
2024-02-17,4.96894
2024-02-18,1.44927
2024-02-19,5.7971
2024-02-20,43.06418
2024-02-21,36.02484
2024-02-22,66.8737
2024-02-23,70.39337
2024-02-24,8.69565
2024-02-25,2.48447
2024-02-26,34.16149
2024-02-27,22.36024
2024-02-28,27.32919
2024-02-29,21.32505
2024-03-01,27.12215
2024-03-02,5.38302
2024-03-03,4.14078
2024-03-04,56.31469
2024-03-05,48.24016
2024-03-06,31.67701
2024-03-07,45.96273
2024-03-08,63.14699
2024-03-09,12.42236
2024-03-10,5.17598
2024-03-11,60.24844
2024-03-12,31.67701
2024-03-13,30.0207
2024-03-14,28.77846
2024-03-15,31.46997
2024-03-16,4.14078
2024-03-17,2.27743
2024-03-18,37.26708
2024-03-19,22.98136
2024-03-20,28.15734
