date,단기예금
2020-03-20,8.69074
2020-03-21,5.30474
2020-03-22,5.64334
2020-03-23,12.75395
2020-03-24,11.17381
2020-03-25,11.39954
2020-03-26,11.85101
2020-03-27,11.51241
2020-03-28,7.22347
2020-03-29,4.4018
2020-03-30,11.06094
2020-03-31,12.52821
2020-04-01,12.41534
2020-04-02,11.06094
2020-04-03,9.81941
2020-04-04,4.85327
2020-04-05,6.65914
2020-04-06,11.96388
2020-04-07,10.72234
2020-04-08,10.27088
2020-04-09,7.67494
2020-04-10,7.90067
2020-04-11,5.30474
2020-04-12,5.4176
2020-04-13,11.73814
2020-04-14,11.17381
2020-04-15,5.30474
2020-04-16,10.15801
2020-04-17,9.70654
2020-04-18,4.85327
2020-04-19,4.85327
2020-04-20,13.43115
2020-04-21,11.06094
2020-04-22,12.75395
2020-04-23,11.96388
2020-04-24,12.18961
2020-04-25,3.61173
2020-04-26,6.4334
2020-04-27,10.72234
2020-04-28,8.57787
2020-04-29,10.83521
2020-04-30,4.51467
2020-05-01,4.51467
2020-05-02,5.19187
2020-05-03,5.86907
2020-05-04,10.27088
2020-05-05,5.30474
2020-05-06,12.41534
2020-05-07,7.78781
2020-05-08,7.22347
2020-05-09,2.82167
2020-05-10,4.28893
2020-05-11,9.70654
2020-05-12,10.49661
2020-05-13,5.7562
2020-05-14,8.35214
2020-05-15,6.0948
2020-05-16,5.64334
2020-05-17,5.86907
2020-05-18,7.4492
2020-05-19,9.25507
2020-05-20,11.28668
2020-05-21,11.51241
2020-05-22,6.4334
2020-05-23,4.62753
2020-05-24,4.17607
2020-05-25,12.30248
2020-05-26,8.91647
2020-05-27,7.90067
2020-05-28,8.35214
2020-05-29,9.59367
2020-05-30,4.51467
2020-05-31,3.61173
2020-06-01,10.60948
2020-06-02,7.1106
2020-06-03,9.81941
2020-06-04,9.48081
2020-06-05,6.20767
2020-06-06,2.93453
2020-06-07,2.7088
2020-06-08,9.02934
2020-06-09,9.25507
2020-06-10,10.83521
2020-06-11,8.12641
2020-06-12,7.1106
2020-06-13,3.0474
2020-06-14,4.7404
2020-06-15,5.4176
2020-06-16,6.32054
2020-06-17,8.57787
2020-06-18,8.80361
2020-06-19,5.86907
2020-06-20,3.0474
2020-06-21,3.7246
2020-06-22,7.22347
2020-06-23,8.91647
2020-06-24,8.01354
2020-06-25,8.46501
2020-06-26,6.99774
2020-06-27,3.49887
2020-06-28,4.0632
2020-06-29,8.69074
2020-06-30,9.93227
2020-07-01,9.93227
2020-07-02,7.90067
2020-07-03,7.33634
2020-07-04,3.61173
2020-07-05,3.0474
2020-07-06,8.35214
2020-07-07,10.72234
2020-07-08,8.69074
2020-07-09,6.65914
2020-07-10,9.48081
2020-07-11,3.61173
2020-07-12,4.7404
2020-07-13,8.23927
2020-07-14,7.22347
2020-07-15,8.12641
2020-07-16,5.53047
2020-07-17,6.99774
2020-07-18,2.93453
2020-07-19,4.28893
2020-07-20,7.4492
2020-07-21,8.35214
2020-07-22,4.85327
2020-07-23,6.88487
2020-07-24,8.46501
2020-07-25,3.95033
2020-07-26,4.4018
2020-07-27,8.80361
2020-07-28,8.01354
2020-07-29,7.22347
2020-07-30,7.90067
2020-07-31,7.22347
2020-08-01,3.49887
2020-08-02,2.48306
2020-08-03,7.33634
2020-08-04,5.98194
2020-08-05,4.62753
2020-08-06,5.53047
2020-08-07,7.1106
2020-08-08,1.693
2020-08-09,3.27313
2020-08-10,8.35214
2020-08-11,5.53047
2020-08-12,6.88487
2020-08-13,6.20767
2020-08-14,4.62753
2020-08-15,3.7246
2020-08-16,2.82167
2020-08-17,3.16027
2020-08-18,7.56207
2020-08-19,8.23927
2020-08-20,6.54627
2020-08-21,5.7562
2020-08-22,3.0474
2020-08-23,3.49887
2020-08-24,6.99774
2020-08-25,8.69074
2020-08-26,6.20767
2020-08-27,5.53047
2020-08-28,5.86907
2020-08-29,3.27313
2020-08-30,2.25733
2020-08-31,6.54627
2020-09-01,6.772
2020-09-02,6.4334
2020-09-03,6.0948
2020-09-04,5.86907
2020-09-05,1.91873
2020-09-06,3.61173
2020-09-07,7.90067
2020-09-08,5.98194
2020-09-09,4.51467
2020-09-10,6.54627
2020-09-11,8.57787
2020-09-12,3.83747
2020-09-13,3.16027
2020-09-14,5.19187
2020-09-15,5.98194
2020-09-16,5.64334
2020-09-17,5.30474
