date,개인공매도
2020-03-20,1.66266
2020-03-21,0.98157
2020-03-22,1.28205
2020-03-23,4.08653
2020-03-24,2.14342
2020-03-25,1.40224
2020-03-26,1.30208
2020-03-27,1.20192
2020-03-28,1.0016
2020-03-29,1.30208
2020-03-30,1.10176
2020-03-31,1.22195
2020-04-01,1.38221
2020-04-02,1.20192
2020-04-03,0.9415
2020-04-04,0.74118
2020-04-05,0.96153
2020-04-06,0.72115
2020-04-07,0.74118
2020-04-08,0.9415
2020-04-09,1.02163
2020-04-10,1.14182
2020-04-11,0.78125
2020-04-12,1.06169
2020-04-13,1.12179
2020-04-14,1.02163
2020-04-15,0.40064
2020-04-16,0.68108
2020-04-17,0.82131
2020-04-18,0.80128
2020-04-19,0.60096
2020-04-20,1.12179
2020-04-21,0.98157
2020-04-22,1.0016
2020-04-23,0.64102
2020-04-24,0.76121
2020-04-25,0.60096
2020-04-26,0.4407
2020-04-27,0.74118
2020-04-28,0.64102
2020-04-29,0.54086
2020-04-30,0.52083
2020-05-01,0.66105
2020-05-02,0.34054
2020-05-03,0.72115
2020-05-04,0.76121
2020-05-05,0.72115
2020-05-06,0.68108
2020-05-07,0.62099
2020-05-08,0.62099
2020-05-09,0.3806
2020-05-10,0.5008
2020-05-11,0.68108
2020-05-12,0.86137
2020-05-13,1.02163
2020-05-14,1.0016
2020-05-15,0.82131
2020-05-16,0.46073
2020-05-17,0.34054
2020-05-18,0.30048
2020-05-19,0.9415
2020-05-20,0.80128
2020-05-21,0.92147
2020-05-22,1.04166
2020-05-23,0.76121
2020-05-24,0.62099
2020-05-25,0.56089
2020-05-26,0.92147
2020-05-27,1.04166
2020-05-28,0.76121
2020-05-29,0.68108
2020-05-30,0.3806
2020-05-31,0.18028
2020-06-01,0.60096
2020-06-02,0.76121
2020-06-03,1.32211
2020-06-04,1.52243
2020-06-05,1.14182
2020-06-06,1.34214
2020-06-07,0.88141
2020-06-08,0.88141
2020-06-09,1.72275
2020-06-10,1.16185
2020-06-11,1.80288
2020-06-12,1.22195
2020-06-13,0.4407
2020-06-14,0.66105
2020-06-15,0.82131
2020-06-16,0.78125
2020-06-17,0.72115
2020-06-18,1.18189
2020-06-19,1.16185
2020-06-20,0.3806
2020-06-21,0.28044
2020-06-22,0.74118
2020-06-23,0.80128
2020-06-24,0.70112
2020-06-25,0.72115
2020-06-26,0.60096
2020-06-27,0.3806
2020-06-28,0.32051
2020-06-29,0.52083
2020-06-30,0.62099
2020-07-01,0.58092
2020-07-02,0.64102
2020-07-03,0.4407
2020-07-04,0.16025
2020-07-05,0.24038
2020-07-06,0.66105
2020-07-07,0.62099
2020-07-08,0.52083
2020-07-09,0.76121
2020-07-10,0.54086
2020-07-11,0.54086
2020-07-12,0.42067
2020-07-13,0.58092
2020-07-14,0.66105
2020-07-15,0.72115
2020-07-16,0.56089
2020-07-17,0.70112
2020-07-18,0.42067
2020-07-19,0.3806
2020-07-20,0.4407
2020-07-21,0.68108
2020-07-22,1.04166
2020-07-23,1.0016
2020-07-24,2.28365
2020-07-25,1.0016
2020-07-26,0.92147
2020-07-27,1.0016
2020-07-28,1.12179
2020-07-29,0.86137
2020-07-30,0.9415
2020-07-31,0.64102
2020-08-01,0.46073
2020-08-02,0.52083
2020-08-03,0.98157
2020-08-04,1.4423
2020-08-05,1.28205
2020-08-06,2.02323
2020-08-07,1.74278
2020-08-08,0.72115
2020-08-09,0.86137
2020-08-10,1.70272
2020-08-11,2.26362
2020-08-12,2.10336
2020-08-13,3.80608
2020-08-14,4.80769
2020-08-15,2.40384
2020-08-16,2.94471
2020-08-17,1.5625
2020-08-18,1.5625
2020-08-19,1.08173
2020-08-20,1.62259
2020-08-21,1.24198
2020-08-22,0.68108
2020-08-23,0.90144
2020-08-24,1.34214
2020-08-25,1.4423
2020-08-26,0.86137
2020-08-27,3.48557
2020-08-28,1.9431
2020-08-29,0.5008
2020-08-30,0.80128
2020-08-31,0.66105
2020-09-01,1.0016
2020-09-02,1.06169
2020-09-03,0.9415
2020-09-04,0.84134
2020-09-05,0.70112
2020-09-06,0.54086
2020-09-07,0.90144
2020-09-08,0.96153
2020-09-09,0.92147
2020-09-10,0.88141
2020-09-11,0.9415
2020-09-12,0.68108
2020-09-13,0.54086
2020-09-14,0.88141
2020-09-15,0.88141
2020-09-16,0.96153
2020-09-17,1.16185
2020-09-18,0.84134
2020-09-19,0.46073
2020-09-20,0.56089
2020-09-21,1.34214
2020-09-22,0.9415
